time,Residential,Industrial,Commercial
20190101:0010,1.1646,3.7287,7.7107
20190101:0110,1.1228,3.7306,7.4336
20190101:0210,1.0765,3.6858,7.1273
20190101:0310,1.0563,3.6483,6.9937
20190101:0410,1.0584,3.7366,7.0076
20190101:0510,1.0929,3.8042,7.2356
20190101:0610,1.1841,4.1131,7.8394
20190101:0710,1.3044,4.3657,8.6362
20190101:0810,1.3539,4.5617,8.9635
20190101:0910,1.3943,4.5794,9.231
20190101:1010,1.4397,4.5888,9.532
20190101:1110,1.4665,4.6689,9.7095
20190101:1210,1.4815,4.6311,9.8088
20190101:1310,1.4775,4.6556,9.7818
20190101:1410,1.4733,4.5769,9.7542
20190101:1510,1.4615,4.6452,9.676
20190101:1610,1.4457,4.6156,9.5712
20190101:1710,1.5095,4.7165,9.9941
20190101:1810,1.5229,4.6099,10.0827
20190101:1910,1.4954,4.5028,9.9005
20190101:2010,1.408,4.334,9.3216
20190101:2110,1.3335,4.0933,8.8286
20190101:2210,1.2712,3.8904,8.4162
20190101:2310,1.1894,3.8868,7.8744
20190102:0010,1.106,3.9266,7.3227
20190102:0110,1.0527,3.9424,6.9696
20190102:0210,1.0406,3.9485,6.8895
20190102:0310,1.044,4.0344,6.9116
20190102:0410,1.0654,4.3892,7.0538
20190102:0510,1.1444,4.427,7.5767
20190102:0610,1.3326,5.1534,8.8225
20190102:0710,1.6402,6.1711,10.8595
20190102:0810,1.9438,8.1225,12.8689
20190102:0910,2.1783,9.0306,14.4218
20190102:1010,2.3332,9.3404,15.4474
20190102:1110,2.4136,9.1882,15.9798
20190102:1210,2.4096,8.7644,15.9534
20190102:1310,2.354,8.4689,15.5853
20190102:1410,2.3474,8.6385,15.5413
20190102:1510,2.2617,8.5903,14.9737
20190102:1610,2.2011,8.4096,14.5726
20190102:1710,2.2249,7.5816,14.7301
20190102:1810,2.1648,6.7106,14.3324
20190102:1910,2.0141,5.9258,13.3344
20190102:2010,1.7576,5.1158,11.6363
20190102:2110,1.5534,4.5421,10.2843
20190102:2210,1.4162,4.1905,9.3762
20190102:2310,1.2712,4.0854,8.4165
20190103:0010,1.1469,4.0705,7.5935
20190103:0110,1.0701,4.1009,7.0847
20190103:0210,1.0555,4.1786,6.9878
20190103:0310,1.0561,4.1621,6.992
20190103:0410,1.0756,4.5211,7.1214
20190103:0510,1.1573,4.6774,7.6622
20190103:0610,1.3368,5.3957,8.8504
20190103:0710,1.6596,6.4109,10.9879
20190103:0810,1.9622,8.5376,12.9911
20190103:0910,2.2807,9.8293,15.1
20190103:1010,2.5211,10.0156,16.6914
20190103:1110,2.5793,10.014,17.0764
20190103:1210,2.5773,9.6191,17.0634
20190103:1310,2.5045,9.1403,16.5816
20190103:1410,2.5082,9.4168,16.606
20190103:1510,2.4207,9.2361,16.0267
20190103:1610,2.3598,9.2436,15.6232
20190103:1710,2.3637,8.1892,15.649
20190103:1810,2.2989,7.1699,15.2204
20190103:1910,2.1244,6.2338,14.0652
20190103:2010,1.8682,5.2658,12.3685
20190103:2110,1.6541,4.6769,10.951
20190103:2210,1.5001,4.3123,9.9318
20190103:2310,1.3364,4.2225,8.8477
20190104:0010,1.1819,4.2332,7.8248
20190104:0110,1.121,4.2737,7.4214
20190104:0210,1.0995,4.3788,7.2793
20190104:0310,1.0987,4.3052,7.274
20190104:0410,1.1199,4.6999,7.4143
20190104:0510,1.2002,4.8217,7.9462
20190104:0610,1.4033,5.362,9.2908
20190104:0710,1.7157,6.4755,11.3592
20190104:0810,2.0311,8.5283,13.4471
20190104:0910,2.325,9.8162,15.3929
20190104:1010,2.5325,10.1046,16.7669
20190104:1110,2.6538,9.9889,17.57
20190104:1210,2.6303,9.4942,17.4142
20190104:1310,2.5518,9.1864,16.8948
20190104:1410,2.554,9.4174,16.9092
20190104:1510,2.4424,9.1978,16.1702
20190104:1610,2.3821,8.8715,15.7712
20190104:1710,2.3532,7.8845,15.5798
20190104:1810,2.3035,6.9265,15.2504
20190104:1910,2.1497,6.0655,14.2327
20190104:2010,1.9027,5.2221,12.5971
20190104:2110,1.6975,4.596,11.2383
20190104:2210,1.5432,4.2972,10.2172
20190104:2310,1.3921,4.1288,9.2167
20190105:0010,1.2392,4.1902,8.2043
20190105:0110,1.1503,4.1763,7.6159
20190105:0210,1.1101,4.3271,7.3494
20190105:0310,1.0986,4.2179,7.2734
20190105:0410,1.121,4.3808,7.4218
20190105:0510,1.1679,4.5989,7.732
20190105:0610,1.2815,4.971,8.4845
20190105:0710,1.4915,5.3921,9.8748
20190105:0810,1.6402,6.0205,10.8591
20190105:0910,1.8056,6.1733,11.954
20190105:1010,2.0067,6.3627,13.2857
20190105:1110,2.0734,6.3852,13.7272
20190105:1210,2.0466,6.1422,13.55
20190105:1310,1.9648,5.7297,13.0082
20190105:1410,1.9101,5.4726,12.6459
20190105:1510,1.824,5.3768,12.076
20190105:1610,1.7744,5.2991,11.7477
20190105:1710,1.8192,5.36,12.0443
20190105:1810,1.9119,5.3342,12.6579
20190105:1910,1.8749,5.1184,12.413
20190105:2010,1.7389,4.6574,11.5129
20190105:2110,1.6116,4.4153,10.67
20190105:2210,1.5227,4.2304,10.081
20190105:2310,1.3987,4.0623,9.2606
20190106:0010,1.2485,4.0446,8.2659
20190106:0110,1.1511,4.022,7.621
20190106:0210,1.1074,3.9449,7.3315
20190106:0310,1.091,3.9077,7.2232
20190106:0410,1.0942,3.9545,7.244
20190106:0510,1.1201,4.1129,7.4157
20190106:0610,1.1913,4.3569,7.8875
20190106:0710,1.3043,4.5733,8.6352
20190106:0810,1.4065,4.7752,9.3122
20190106:0910,1.5141,4.9737,10.0242
20190106:1010,1.6819,5.1433,11.1351
20190106:1110,1.7739,5.1583,11.7443
20190106:1210,1.7605,5.1074,11.6559
20190106:1310,1.6916,4.9673,11.1995
20190106:1410,1.633,4.9349,10.8117
20190106:1510,1.5759,4.7714,10.4333
20190106:1610,1.523,4.7543,10.0832
20190106:1710,1.5691,4.849,10.3887
20190106:1810,1.6569,4.7999,10.97
20190106:1910,1.6749,4.6834,11.089
20190106:2010,1.5647,4.6194,10.3596
20190106:2110,1.4659,4.3774,9.7053
20190106:2210,1.3693,4.2225,9.0656
20190106:2310,1.2508,4.1256,8.2811
20190107:0010,1.1357,4.1262,7.5189
20190107:0110,1.0867,4.3377,7.1943
20190107:0210,1.0718,4.4176,7.0959
20190107:0310,1.0806,4.3669,7.1541
20190107:0410,1.1052,4.7337,7.317
20190107:0510,1.1937,5.0364,7.9033
20190107:0610,1.3981,5.6945,9.2563
20190107:0710,1.7465,7.1963,11.5631
20190107:0810,2.1437,10.2901,14.1924
20190107:0910,2.5785,12.3818,17.0714
20190107:1010,2.8414,12.9733,18.8118
20190107:1110,2.917,12.7327,19.3125
20190107:1210,2.9017,11.9989,19.211
20190107:1310,2.818,11.3958,18.6568
20190107:1410,2.7673,11.9965,18.3214
20190107:1510,2.6359,11.6174,17.4517
20190107:1610,2.5734,11.3526,17.0378
20190107:1710,2.5671,9.7533,16.996
20190107:1810,2.4654,8.3221,16.3226
20190107:1910,2.2503,7.0665,14.8984
20190107:2010,1.9368,5.9466,12.823
20190107:2110,1.6847,5.2423,11.1539
20190107:2210,1.5036,4.7211,9.9548
20190107:2310,1.3312,4.5231,8.8132
20190108:0010,1.1857,4.5211,7.8498
20190108:0110,1.1231,4.533,7.4358
20190108:0210,1.0982,4.5583,7.2705
20190108:0310,1.1014,4.6771,7.2922
20190108:0410,1.1279,4.9299,7.4677
20190108:0510,1.2103,5.1901,8.013
20190108:0610,1.417,6.0286,9.3814
20190108:0710,1.777,7.7769,11.7647
20190108:0810,2.1832,10.5786,14.4544
20190108:0910,2.6063,12.582,17.2555
20190108:1010,2.8987,13.1868,19.1914
20190108:1110,2.9971,13.0979,19.8426
20190108:1210,3.0049,12.3191,19.8943
20190108:1310,2.9055,11.7409,19.2365
20190108:1410,2.8717,12.1952,19.0128
20190108:1510,2.7218,11.8931,18.0201
20190108:1610,2.6212,11.5371,17.3538
20190108:1710,2.6158,10.0295,17.3184
20190108:1810,2.5445,8.4777,16.8464
20190108:1910,2.3436,7.2658,15.5162
20190108:2010,2.0448,6.032,13.5378
20190108:2110,1.7831,5.2575,11.8052
20190108:2210,1.5933,4.7184,10.5487
20190108:2310,1.4021,4.4988,9.2828
20190109:0010,1.2278,4.5516,8.129
20190109:0110,1.1424,4.5912,7.5635
20190109:0210,1.1255,4.5713,7.4515
20190109:0310,1.1351,4.7186,7.5149
20190109:0410,1.155,4.8326,7.6468
20190109:0510,1.2458,5.2049,8.2478
20190109:0610,1.4488,6.0897,9.5917
20190109:0710,1.8241,7.738,12.0766
20190109:0810,2.2047,10.7302,14.5967
20190109:0910,2.5539,12.2465,16.9084
20190109:1010,2.8047,12.6659,18.5692
20190109:1110,2.9175,12.669,19.3158
20190109:1210,2.9297,12.0489,19.3967
20190109:1310,2.8211,11.2767,18.6773
20190109:1410,2.818,11.9835,18.6572
20190109:1510,2.6426,11.6377,17.4959
20190109:1610,2.5741,11.5424,17.0424
20190109:1710,2.5753,10.1342,17.0499
20190109:1810,2.5167,8.395,16.662
20190109:1910,2.3239,7.1065,15.3859
20190109:2010,2.0157,5.907,13.3451
20190109:2110,1.7543,5.2093,11.6149
20190109:2210,1.5738,4.6939,10.4195
20190109:2310,1.3875,4.4691,9.186
20190110:0010,1.2073,4.4883,7.9932
20190110:0110,1.1235,4.4731,7.4382
20190110:0210,1.101,4.5142,7.2892
20190110:0310,1.0998,4.5281,7.2812
20190110:0410,1.1194,4.8292,7.4109
20190110:0510,1.1991,5.1409,7.9389
20190110:0610,1.3937,6.016,9.2273
20190110:0710,1.7584,7.6761,11.642
20190110:0810,2.1242,10.5167,14.0635
20190110:0910,2.5175,12.2901,16.6676
20190110:1010,2.7652,12.5615,18.3071
20190110:1110,2.867,12.5812,18.9815
20190110:1210,2.8566,11.8617,18.9128
20190110:1310,2.7625,11.1008,18.2896
20190110:1410,2.7417,11.7662,18.1518
20190110:1510,2.5987,11.5044,17.2048
20190110:1610,2.5394,11.1496,16.8125
20190110:1710,2.5426,9.6912,16.8338
20190110:1810,2.4888,8.2865,16.4772
20190110:1910,2.3036,7.109,15.2514
20190110:2010,2.0061,5.9897,13.2814
20190110:2110,1.7646,5.2571,11.6829
20190110:2210,1.5866,4.7731,10.5045
20190110:2310,1.4042,4.5902,9.2967
20190111:0010,1.2268,4.5549,8.1225
20190111:0110,1.1373,4.5683,7.5295
20190111:0210,1.1086,4.5752,7.3395
20190111:0310,1.1145,4.5764,7.3788
20190111:0410,1.1338,4.8858,7.5062
20190111:0510,1.2124,5.104,8.0265
20190111:0610,1.4255,5.9609,9.4379
20190111:0710,1.8074,7.4459,11.9665
20190111:0810,2.1833,10.6096,14.455
20190111:0910,2.5938,12.3718,17.1724
20190111:1010,2.8445,12.8435,18.8326
20190111:1110,2.9465,12.7803,19.5079
20190111:1210,2.9364,11.919,19.4408
20190111:1310,2.8417,11.2693,18.8136
20190111:1410,2.8116,11.5497,18.6146
20190111:1510,2.6692,11.1817,17.6717
20190111:1610,2.5798,10.8167,17.0796
20190111:1710,2.5462,9.402,16.8577
20190111:1810,2.4909,8.0536,16.4915
20190111:1910,2.3002,6.9818,15.2291
20190111:2010,2.0229,5.7793,13.3929
20190111:2110,1.7721,5.0474,11.7326
20190111:2210,1.6027,4.5572,10.6111
20190111:2310,1.443,4.3711,9.5533
20190112:0010,1.2781,4.384,8.4617
20190112:0110,1.1642,4.4099,7.7079
20190112:0210,1.1177,4.5874,7.3998
20190112:0310,1.1086,4.5332,7.3399
20190112:0410,1.1206,4.5042,7.419
20190112:0510,1.1618,4.8426,7.692
20190112:0610,1.2796,5.1795,8.4716
