time,Residential,Industrial,Commercial
2019-01-01 00:00:00,1.1646,3.7287,7.7107
2019-01-01 01:00:00,1.1228,3.7306,7.4336
2019-01-01 02:00:00,1.0765,3.6858,7.1273
2019-01-01 03:00:00,1.0563,3.6483,6.9937
2019-01-01 04:00:00,1.0584,3.7366,7.0076
2019-01-01 05:00:00,1.0929,3.8042,7.2356
2019-01-01 06:00:00,1.1841,4.1131,7.8394
2019-01-01 07:00:00,1.3044,4.3657,8.6362
2019-01-01 08:00:00,1.3539,4.5617,8.9635
2019-01-01 09:00:00,1.3943,4.5794,9.231
2019-01-01 10:00:00,1.4397,4.5888,9.532
2019-01-01 11:00:00,1.4665,4.6689,9.7095
2019-01-01 12:00:00,1.4815,4.6311,9.8088
2019-01-01 13:00:00,1.4775,4.6556,9.7818
2019-01-01 14:00:00,1.4733,4.5769,9.7542
2019-01-01 15:00:00,1.4615,4.6452,9.676
2019-01-01 16:00:00,1.4457,4.6156,9.5712
2019-01-01 17:00:00,1.5095,4.7165,9.9941
2019-01-01 18:00:00,1.5229,4.6099,10.0827
2019-01-01 19:00:00,1.4954,4.5028,9.9005
2019-01-01 20:00:00,1.408,4.334,9.3216
2019-01-01 21:00:00,1.3335,4.0933,8.8286
2019-01-01 22:00:00,1.2712,3.8904,8.4162
2019-01-01 23:00:00,1.1894,3.8868,7.8744
2019-01-02 00:00:00,1.106,3.9266,7.3227
2019-01-02 01:00:00,1.0527,3.9424,6.9696
2019-01-02 02:00:00,1.0406,3.9485,6.8895
2019-01-02 03:00:00,1.044,4.0344,6.9116
2019-01-02 04:00:00,1.0654,4.3892,7.0538
2019-01-02 05:00:00,1.1444,4.427,7.5767
2019-01-02 06:00:00,1.3326,5.1534,8.8225
2019-01-02 07:00:00,1.6402,6.1711,10.8595
2019-01-02 08:00:00,1.9438,8.1225,12.8689
2019-01-02 09:00:00,2.1783,9.0306,14.4218
2019-01-02 10:00:00,2.3332,9.3404,15.4474
2019-01-02 11:00:00,2.4136,9.1882,15.9798
2019-01-02 12:00:00,2.4096,8.7644,15.9534
2019-01-02 13:00:00,2.354,8.4689,15.5853
2019-01-02 14:00:00,2.3474,8.6385,15.5413
2019-01-02 15:00:00,2.2617,8.5903,14.9737
2019-01-02 16:00:00,2.2011,8.4096,14.5726
2019-01-02 17:00:00,2.2249,7.5816,14.7301
2019-01-02 18:00:00,2.1648,6.7106,14.3324
2019-01-02 19:00:00,2.0141,5.9258,13.3344
2019-01-02 20:00:00,1.7576,5.1158,11.6363
2019-01-02 21:00:00,1.5534,4.5421,10.2843
2019-01-02 22:00:00,1.4162,4.1905,9.3762
2019-01-02 23:00:00,1.2712,4.0854,8.4165
2019-01-03 00:00:00,1.1469,4.0705,7.5935
2019-01-03 01:00:00,1.0701,4.1009,7.0847
2019-01-03 02:00:00,1.0555,4.1786,6.9878
2019-01-03 03:00:00,1.0561,4.1621,6.992
2019-01-03 04:00:00,1.0756,4.5211,7.1214
2019-01-03 05:00:00,1.1573,4.6774,7.6622
2019-01-03 06:00:00,1.3368,5.3957,8.8504
2019-01-03 07:00:00,1.6596,6.4109,10.9879
2019-01-03 08:00:00,1.9622,8.5376,12.9911
2019-01-03 09:00:00,2.2807,9.8293,15.1
2019-01-03 10:00:00,2.5211,10.0156,16.6914
2019-01-03 11:00:00,2.5793,10.014,17.0764
2019-01-03 12:00:00,2.5773,9.6191,17.0634
2019-01-03 13:00:00,2.5045,9.1403,16.5816
2019-01-03 14:00:00,2.5082,9.4168,16.606
2019-01-03 15:00:00,2.4207,9.2361,16.0267
2019-01-03 16:00:00,2.3598,9.2436,15.6232
2019-01-03 17:00:00,2.3637,8.1892,15.649
2019-01-03 18:00:00,2.2989,7.1699,15.2204
2019-01-03 19:00:00,2.1244,6.2338,14.0652
2019-01-03 20:00:00,1.8682,5.2658,12.3685
2019-01-03 21:00:00,1.6541,4.6769,10.951
2019-01-03 22:00:00,1.5001,4.3123,9.9318
2019-01-03 23:00:00,1.3364,4.2225,8.8477
2019-01-04 00:00:00,1.1819,4.2332,7.8248
2019-01-04 01:00:00,1.121,4.2737,7.4214
2019-01-04 02:00:00,1.0995,4.3788,7.2793
