"date","hour",SUD [Eur/MWh],SUD [Eur/Wh
20190101,1,51,"0,0000051"
20190101,2,46,"0,000004627"
20190101,3,40,"0,000003978"
20190101,4,28,"0,000002786938"
20190101,5,22,"0,0000022"
20190101,6,20,"0,000002"
20190101,7,21,"0,000002090473"
20190101,8,27,"0,000002654"
20190101,9,25,"0,0000025"
20190101,10,25,"0,0000025"
20190101,11,35,"0,000003463907"
20190101,12,41,"0,000004103279"
20190101,13,49,"0,000004897"
20190101,14,41,"0,000004106"
20190101,15,38,"0,000003795109"
20190101,16,54,"0,000005359"
20190101,17,59,"0,000005865"
20190101,18,65,"0,000006464"
20190101,19,65,"0,0000065"
20190101,20,66,"0,000006556"
20190101,21,64,"0,000006423"
20190101,22,62,"0,000006172"
20190101,23,59,"0,000005865"
20190101,24,55,"0,000005490516"
20190102,1,53,"0,000005310953"
20190102,2,46,"0,000004586552"
20190102,3,39,"0,000003915"
20190102,4,36,"0,0000036"
20190102,5,39,"0,0000039"
20190102,6,39,"0,0000039"
20190102,7,53,"0,00000531"
20190102,8,65,"0,000006541"
20190102,9,70,"0,000007"
20190102,10,69,"0,000006919"
20190102,11,66,"0,000006564"
20190102,12,64,"0,0000064"
20190102,13,63,"0,00000628"
20190102,14,59,"0,000005865"
20190102,15,60,"0,000005984"
20190102,16,65,"0,0000065"
20190102,17,67,"0,000006663"
20190102,18,73,"0,000007269"
20190102,19,73,"0,0000073"
20190102,20,74,"0,000007356"
20190102,21,67,"0,000006663"
20190102,22,61,"0,000006129"
20190102,23,57,"0,0000057"
20190102,24,54,"0,000005430801"
20190103,1,35,"0,0000035"
20190103,2,38,"0,000003791"
20190103,3,34,"0,000003445"
20190103,4,34,"0,000003443"
20190103,5,34,"0,000003443"
20190103,6,34,"0,000003448"
20190103,7,55,"0,00000551"
20190103,8,59,"0,0000059"
20190103,9,59,"0,0000059"
20190103,10,57,"0,000005668"
20190103,11,55,"0,000005466"
20190103,12,45,"0,0000045"
20190103,13,39,"0,000003949"
20190103,14,39,"0,000003949"
20190103,15,55,"0,000005466"
20190103,16,58,"0,000005809"
20190103,17,65,"0,000006501"
20190103,18,73,"0,0000073"
20190103,19,73,"0,00000734314"
20190103,20,71,"0,000007055"
20190103,21,68,"0,000006837917"
20190103,22,62,"0,000006172"
20190103,23,60,"0,000005984"
20190103,24,59,"0,000005852"
20190104,1,56,"0,000005552"
20190104,2,53,"0,000005290742"
20190104,3,50,"0,000004961068"
20190104,4,47,"0,000004741192"
20190104,5,47,"0,000004700471"
20190104,6,53,"0,000005299"
20190104,7,65,"0,000006482"
20190104,8,74,"0,000007393"
20190104,9,74,"0,000007393"
20190104,10,73,"0,000007343"
20190104,11,72,"0,000007158332"
20190104,12,69,"0,000006938"
20190104,13,65,"0,0000065"
20190104,14,65,"0,0000065"
20190104,15,68,"0,000006812"
20190104,16,68,"0,00000684"
20190104,17,73,"0,000007322"
20190104,18,74,"0,000007446"
20190104,19,77,"0,000007684"
20190104,20,76,"0,000007597"
20190104,21,74,"0,000007395"
20190104,22,70,"0,000007"
20190104,23,69,"0,000006868"
20190104,24,63,"0,000006299"
20190105,1,72,"0,000007168"
20190105,2,64,"0,000006373952"
20190105,3,60,"0,000006"
20190105,4,56,"0,000005584"
20190105,5,54,"0,00000535"
20190105,6,54,"0,00000544"
20190105,7,61,"0,000006145"
20190105,8,71,"0,00000707"
20190105,9,74,"0,000007395"
20190105,10,73,"0,000007341"
20190105,11,69,"0,000006912"
20190105,12,68,"0,000006825"
20190105,13,68,"0,000006767"
20190105,14,64,"0,0000064"
20190105,15,62,"0,000006157"
20190105,16,62,"0,000006243"
20190105,17,74,"0,000007393"
20190105,18,77,"0,000007665"
20190105,19,77,"0,000007684"
20190105,20,78,"0,000007751"
20190105,21,77,"0,000007655"
20190105,22,76,"0,000007569"
20190105,23,70,"0,000007"
20190105,24,65,"0,000006509"
20190106,1,61,"0,00000609"
20190106,2,55,"0,00000549"
