Time,€/MWh
2019-01-01 00:00:00,"195,90"
2019-01-01 01:00:00,"191,09"
2019-01-01 02:00:00,"187,95"
2019-01-01 03:00:00,"187,82"
2019-01-01 04:00:00,"187,74"
2019-01-01 05:00:00,"187,74"
2019-01-01 06:00:00,"187,22"
2019-01-01 07:00:00,"187,82"
2019-01-01 08:00:00,"186,47"
2019-01-01 09:00:00,"186,47"
2019-01-01 10:00:00,"177,25"
2019-01-01 11:00:00,"168,50"
2019-01-01 12:00:00,"173,00"
2019-01-01 13:00:00,"165,89"
2019-01-01 14:00:00,"179,73"
2019-01-01 15:00:00,"188,06"
2019-01-01 16:00:00,"193,67"
2019-01-01 17:00:00,"213,36"
2019-01-01 18:00:00,"229,99"
2019-01-01 19:00:00,"243,42"
2019-01-01 20:00:00,"235,00"
2019-01-01 21:00:00,"203,25"
2019-01-01 22:00:00,"190,85"
2019-01-01 23:00:00,"187,28"
2019-01-02 00:00:00,"187,27"
2019-01-02 01:00:00,"187,20"
2019-01-02 02:00:00,"180,00"
2019-01-02 03:00:00,"180,00"
2019-01-02 04:00:00,"185,89"
2019-01-02 05:00:00,"185,89"
2019-01-02 06:00:00,"198,85"
2019-01-02 07:00:00,"202,72"
2019-01-02 08:00:00,"213,36"
2019-01-02 09:00:00,"203,99"
2019-01-02 10:00:00,"196,23"
2019-01-02 11:00:00,"188,89"
2019-01-02 12:00:00,"187,91"
2019-01-02 13:00:00,"188,89"
2019-01-02 14:00:00,"195,74"
2019-01-02 15:00:00,"199,09"
2019-01-02 16:00:00,"206,21"
2019-01-02 17:00:00,"262,00"
2019-01-02 18:00:00,"247,00"
2019-01-02 19:00:00,"250,00"
2019-01-02 20:00:00,"210,95"
2019-01-02 21:00:00,"199,09"
2019-01-02 22:00:00,"194,47"
2019-01-02 23:00:00,"185,00"
2019-01-03 00:00:00,"170,77"
2019-01-03 01:00:00,"148,89"
2019-01-03 02:00:00,"120,00"
2019-01-03 03:00:00,"115,00"
2019-01-03 04:00:00,"113,63"
2019-01-03 05:00:00,"148,89"
2019-01-03 06:00:00,"191,58"
2019-01-03 07:00:00,"191,63"
2019-01-03 08:00:00,"199,74"
2019-01-03 09:00:00,"198,49"
2019-01-03 10:00:00,"191,58"
2019-01-03 11:00:00,"180,20"
2019-01-03 12:00:00,"175,00"
2019-01-03 13:00:00,"174,76"
