Time,€/MWh,SUD [Eur/Wh]
2019-01-01 00:00:00,195.9,0.0001959
2019-01-01 01:00:00,191.09,0.00019109
2019-01-01 02:00:00,187.95,0.00018795
2019-01-01 03:00:00,187.82,0.00018782
2019-01-01 04:00:00,187.74,0.00018774
2019-01-01 05:00:00,187.74,0.00018774
2019-01-01 06:00:00,187.22,0.00018722
2019-01-01 07:00:00,187.82,0.00018782
2019-01-01 08:00:00,186.47,0.00018647
2019-01-01 09:00:00,186.47,0.00018647
2019-01-01 10:00:00,177.25,0.00017725
2019-01-01 11:00:00,168.5,0.0001685
2019-01-01 12:00:00,173.0,0.000173
2019-01-01 13:00:00,165.89,0.00016589
2019-01-01 14:00:00,179.73,0.00017973
2019-01-01 15:00:00,188.06,0.00018806
2019-01-01 16:00:00,193.67,0.00019367
2019-01-01 17:00:00,213.36,0.00021336
2019-01-01 18:00:00,229.99,0.00022999
2019-01-01 19:00:00,243.42,0.00024342
2019-01-01 20:00:00,235.0,0.000235
2019-01-01 21:00:00,203.25,0.00020325
2019-01-01 22:00:00,190.85,0.00019085
2019-01-01 23:00:00,187.28,0.00018728
2019-01-02 00:00:00,187.27,0.00018727
2019-01-02 01:00:00,187.2,0.0001872
2019-01-02 02:00:00,180.0,0.00018
2019-01-02 03:00:00,180.0,0.00018
2019-01-02 04:00:00,185.89,0.00018589
2019-01-02 05:00:00,185.89,0.00018589
2019-01-02 06:00:00,198.85,0.00019885
2019-01-02 07:00:00,202.72,0.00020272
2019-01-02 08:00:00,213.36,0.00021336
2019-01-02 09:00:00,203.99,0.00020399
2019-01-02 10:00:00,196.23,0.00019623
2019-01-02 11:00:00,188.89,0.00018889
2019-01-02 12:00:00,187.91,0.00018791
2019-01-02 13:00:00,188.89,0.00018889
2019-01-02 14:00:00,195.74,0.00019574
2019-01-02 15:00:00,199.09,0.00019909
2019-01-02 16:00:00,206.21,0.00020621
2019-01-02 17:00:00,262.0,0.000262
2019-01-02 18:00:00,247.0,0.000247
2019-01-02 19:00:00,250.0,0.00025
2019-01-02 20:00:00,210.95,0.00021095
2019-01-02 21:00:00,199.09,0.00019909
2019-01-02 22:00:00,194.47,0.00019447
2019-01-02 23:00:00,185.0,0.000185
2019-01-03 00:00:00,170.77,0.00017077
2019-01-03 01:00:00,148.89,0.00014889
2019-01-03 02:00:00,120.0,0.00012
2019-01-03 03:00:00,115.0,0.000115
2019-01-03 04:00:00,113.63,0.00011363
2019-01-03 05:00:00,148.89,0.00014889
2019-01-03 06:00:00,191.58,0.00019158
2019-01-03 07:00:00,191.63,0.00019163
2019-01-03 08:00:00,199.74,0.00019974
2019-01-03 09:00:00,198.49,0.00019849
2019-01-03 10:00:00,191.58,0.00019158
2019-01-03 11:00:00,180.2,0.0001802
2019-01-03 12:00:00,175.0,0.000175
2019-01-03 13:00:00,174.76,0.00017476
2019-01-03 14:00:00,180.2,0.0001802
2019-01-03 15:00:00,190.0,0.00019
2019-01-03 16:00:00,194.9,0.0001949
2019-01-03 17:00:00,200.38,0.00020038
2019-01-03 18:00:00,200.0,0.0002
2019-01-03 19:00:00,199.74,0.00019974
2019-01-03 20:00:00,195.02,0.00019502
2019-01-03 21:00:00,189.89,0.00018989
2019-01-03 22:00:00,173.57,0.00017357
2019-01-03 23:00:00,149.99,0.00014999
2019-01-04 00:00:00,121.5,0.0001215
2019-01-04 01:00:00,119.22,0.00011922
2019-01-04 02:00:00,100.0,0.0001
2019-01-04 03:00:00,123.87,0.00012387
2019-01-04 04:00:00,128.0,0.000128
2019-01-04 05:00:00,135.0,0.000135
2019-01-04 06:00:00,171.58,0.00017158
2019-01-04 07:00:00,190.0,0.00019
2019-01-04 08:00:00,217.72,0.00021772
2019-01-04 09:00:00,191.22,0.00019122
2019-01-04 10:00:00,183.83,0.00018383
2019-01-04 11:00:00,173.5,0.0001735
2019-01-04 12:00:00,169.41,0.00016941
2019-01-04 13:00:00,172.0,0.000172
2019-01-04 14:00:00,183.57,0.00018357
2019-01-04 15:00:00,191.46,0.00019146
2019-01-04 16:00:00,200.45,0.00020045
2019-01-04 17:00:00,211.77,0.00021177
2019-01-04 18:00:00,215.0,0.000215
2019-01-04 19:00:00,211.6,0.0002116
2019-01-04 20:00:00,200.0,0.0002
2019-01-04 21:00:00,190.06,0.00019006
2019-01-04 22:00:00,179.99,0.00017999
2019-01-04 23:00:00,137.9,0.0001379
2019-01-05 00:00:00,150.98,0.00015098
2019-01-05 01:00:00,123.0,0.000123
2019-01-05 02:00:00,107.0,0.000107
2019-01-05 03:00:00,100.0,0.0001
2019-01-05 04:00:00,107.4,0.0001074
2019-01-05 05:00:00,137.4,0.0001374
