time,Data,Ora,€/MWh,SUD [Eur/Wh]
2019-01-01 00:00:00,01/01/2019,1.0,51.0,5.1e-05
2019-01-01 01:00:00,01/01/2019,2.0,46.27,4.6e-05
2019-01-01 02:00:00,01/01/2019,3.0,39.78,4e-05
2019-01-01 03:00:00,01/01/2019,4.0,27.87,2.8e-05
2019-01-01 04:00:00,01/01/2019,5.0,22.0,2.2e-05
2019-01-01 05:00:00,01/01/2019,6.0,20.0,2e-05
2019-01-01 06:00:00,01/01/2019,7.0,20.9,2.1e-05
2019-01-01 07:00:00,01/01/2019,8.0,26.54,2.7e-05
2019-01-01 08:00:00,01/01/2019,9.0,25.0,2.5e-05
2019-01-01 09:00:00,01/01/2019,10.0,25.0,2.5e-05
2019-01-01 10:00:00,01/01/2019,11.0,34.64,3.5e-05
2019-01-01 11:00:00,01/01/2019,12.0,41.03,4.1e-05
2019-01-01 12:00:00,01/01/2019,13.0,48.97,4.9e-05
2019-01-01 13:00:00,01/01/2019,14.0,41.06,4.1e-05
2019-01-01 14:00:00,01/01/2019,15.0,37.95,3.8e-05
2019-01-01 15:00:00,01/01/2019,16.0,53.59,5.4e-05
2019-01-01 16:00:00,01/01/2019,17.0,58.65,5.9e-05
2019-01-01 17:00:00,01/01/2019,18.0,64.64,6.5e-05
2019-01-01 18:00:00,01/01/2019,19.0,65.0,6.5e-05
2019-01-01 19:00:00,01/01/2019,20.0,65.56,6.6e-05
2019-01-01 20:00:00,01/01/2019,21.0,64.23,6.4e-05
2019-01-01 21:00:00,01/01/2019,22.0,61.72,6.2e-05
2019-01-01 22:00:00,01/01/2019,23.0,58.65,5.9e-05
2019-01-01 23:00:00,01/01/2019,24.0,54.91,5.5e-05
2019-01-02 00:00:00,02/01/2019,1.0,53.11,5.3e-05
2019-01-02 01:00:00,02/01/2019,2.0,45.87,4.6e-05
2019-01-02 02:00:00,02/01/2019,3.0,39.15,3.9e-05
2019-01-02 03:00:00,02/01/2019,4.0,36.0,3.6e-05
2019-01-02 04:00:00,02/01/2019,5.0,39.0,3.9e-05
