datetime,Data,Ora,€/MWh,SUD [Eur/Wh]
2019-01-01 00:00:00,01/01/2019,1,51.0,5.1e-05
2019-01-01 01:00:00,01/01/2019,2,46.27,4.627e-05
2019-01-01 02:00:00,01/01/2019,3,39.78,3.978e-05
2019-01-01 03:00:00,01/01/2019,4,27.87,2.7870000000000003e-05
2019-01-01 04:00:00,01/01/2019,5,22.0,2.2e-05
2019-01-01 05:00:00,01/01/2019,6,20.0,2e-05
2019-01-01 06:00:00,01/01/2019,7,20.9,2.09e-05
2019-01-01 07:00:00,01/01/2019,8,26.54,2.654e-05
2019-01-01 08:00:00,01/01/2019,9,25.0,2.5e-05
2019-01-01 09:00:00,01/01/2019,10,25.0,2.5e-05
2019-01-01 10:00:00,01/01/2019,11,34.64,3.464e-05
2019-01-01 11:00:00,01/01/2019,12,41.03,4.103e-05
2019-01-01 12:00:00,01/01/2019,13,48.97,4.897e-05
2019-01-01 13:00:00,01/01/2019,14,41.06,4.106e-05
2019-01-01 14:00:00,01/01/2019,15,37.95,3.795e-05
2019-01-01 15:00:00,01/01/2019,16,53.59,5.359e-05
2019-01-01 16:00:00,01/01/2019,17,58.65,5.8649999999999996e-05
2019-01-01 17:00:00,01/01/2019,18,64.64,6.464e-05
2019-01-01 18:00:00,01/01/2019,19,65.0,6.5e-05
2019-01-01 19:00:00,01/01/2019,20,65.56,6.556e-05
2019-01-01 20:00:00,01/01/2019,21,64.23,6.423e-05
2019-01-01 21:00:00,01/01/2019,22,61.72,6.172e-05
2019-01-01 22:00:00,01/01/2019,23,58.65,5.8649999999999996e-05
2019-01-01 23:00:00,01/01/2019,24,54.91,5.4909999999999994e-05
2019-01-02 00:00:00,02/01/2019,1,53.11,5.311e-05
2019-01-02 01:00:00,02/01/2019,2,45.87,4.587e-05
2019-01-02 02:00:00,02/01/2019,3,39.15,3.9149999999999996e-05
2019-01-02 03:00:00,02/01/2019,4,36.0,3.6e-05
2019-01-02 04:00:00,02/01/2019,5,39.0,3.9e-05
2019-01-02 05:00:00,02/01/2019,6,39.0,3.9e-05
2019-01-02 06:00:00,02/01/2019,7,53.1,5.31e-05
2019-01-02 07:00:00,02/01/2019,8,65.41,6.541e-05
2019-01-02 08:00:00,02/01/2019,9,70.0,7e-05
2019-01-02 09:00:00,02/01/2019,10,69.19,6.918999999999999e-05
2019-01-02 10:00:00,02/01/2019,11,65.64,6.564e-05
2019-01-02 11:00:00,02/01/2019,12,64.0,6.4e-05
2019-01-02 12:00:00,02/01/2019,13,62.8,6.28e-05
2019-01-02 13:00:00,02/01/2019,14,58.65,5.8649999999999996e-05
2019-01-02 14:00:00,02/01/2019,15,59.84,5.984e-05
2019-01-02 15:00:00,02/01/2019,16,65.0,6.5e-05
2019-01-02 16:00:00,02/01/2019,17,66.63,6.662999999999999e-05
2019-01-02 17:00:00,02/01/2019,18,72.69,7.269e-05
2019-01-02 18:00:00,02/01/2019,19,73.0,7.3e-05
2019-01-02 19:00:00,02/01/2019,20,73.56,7.356000000000001e-05
2019-01-02 20:00:00,02/01/2019,21,66.63,6.662999999999999e-05
2019-01-02 21:00:00,02/01/2019,22,61.29,6.129e-05
2019-01-02 22:00:00,02/01/2019,23,58.65,5.8649999999999996e-05
2019-01-02 23:00:00,02/01/2019,24,54.31,5.431e-05
2019-01-03 00:00:00,03/01/2019,1,47.03,4.703e-05
2019-01-03 01:00:00,03/01/2019,2,37.91,3.7909999999999994e-05
2019-01-03 02:00:00,03/01/2019,3,34.45,3.4450000000000004e-05
2019-01-03 03:00:00,03/01/2019,4,34.43,3.443e-05
2019-01-03 04:00:00,03/01/2019,5,34.43,3.443e-05
2019-01-03 05:00:00,03/01/2019,6,34.48,3.4479999999999995e-05
2019-01-03 06:00:00,03/01/2019,7,55.1,5.5100000000000004e-05
2019-01-03 07:00:00,03/01/2019,8,63.41,6.340999999999999e-05
2019-01-03 08:00:00,03/01/2019,9,68.65,6.865e-05
2019-01-03 09:00:00,03/01/2019,10,68.65,6.865e-05
2019-01-03 10:00:00,03/01/2019,11,68.65,6.865e-05
2019-01-03 11:00:00,03/01/2019,12,63.18,6.318e-05
2019-01-03 12:00:00,03/01/2019,13,59.84,5.984e-05
2019-01-03 13:00:00,03/01/2019,14,59.84,5.984e-05
2019-01-03 14:00:00,03/01/2019,15,63.18,6.318e-05
2019-01-03 15:00:00,03/01/2019,16,68.01,6.801000000000001e-05
2019-01-03 16:00:00,03/01/2019,17,68.99,6.898999999999999e-05
2019-01-03 17:00:00,03/01/2019,18,73.0,7.3e-05
2019-01-03 18:00:00,03/01/2019,19,73.43,7.343e-05
2019-01-03 19:00:00,03/01/2019,20,70.55,7.055e-05
2019-01-03 20:00:00,03/01/2019,21,68.38,6.837999999999999e-05
2019-01-03 21:00:00,03/01/2019,22,61.72,6.172e-05
2019-01-03 22:00:00,03/01/2019,23,59.84,5.984e-05
2019-01-03 23:00:00,03/01/2019,24,58.65,5.8649999999999996e-05
2019-01-04 00:00:00,04/01/2019,1,55.52,5.5520000000000004e-05
2019-01-04 01:00:00,04/01/2019,2,52.91,5.291e-05
2019-01-04 02:00:00,04/01/2019,3,49.61,4.961e-05
2019-01-04 03:00:00,04/01/2019,4,47.41,4.7409999999999995e-05
2019-01-04 04:00:00,04/01/2019,5,47.0,4.7e-05
2019-01-04 05:00:00,04/01/2019,6,52.99,5.299e-05
2019-01-04 06:00:00,04/01/2019,7,64.82,6.481999999999999e-05
2019-01-04 07:00:00,04/01/2019,8,73.93,7.393e-05
2019-01-04 08:00:00,04/01/2019,9,75.04,7.504e-05
2019-01-04 09:00:00,04/01/2019,10,73.43,7.343e-05
