time,G(i)_South,G(i)_East,G(i)_West
2019-01-01 00:00:00,0.0,0.0,0.0
2019-01-01 01:00:00,0.0,0.0,0.0
2019-01-01 02:00:00,0.0,0.0,0.0
2019-01-01 03:00:00,0.0,0.0,0.0
2019-01-01 04:00:00,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,0.0,0.0
2019-01-01 07:00:00,286.98,117.69,19.14
2019-01-01 08:00:00,611.7,295.64,42.83
2019-01-01 09:00:00,775.15,394.61,98.75
2019-01-01 10:00:00,890.47,449.79,263.87
2019-01-01 11:00:00,903.84,441.25,401.79
2019-01-01 12:00:00,815.88,372.47,482.08
2019-01-01 13:00:00,651.95,258.95,490.54
2019-01-01 14:00:00,457.56,120.5,443.29
2019-01-01 15:00:00,16.35,18.82,17.31
2019-01-01 16:00:00,0.0,0.0,0.0
2019-01-01 17:00:00,0.0,0.0,0.0
2019-01-01 18:00:00,0.0,0.0,0.0
2019-01-01 19:00:00,0.0,0.0,0.0
2019-01-01 20:00:00,0.0,0.0,0.0
2019-01-01 21:00:00,0.0,0.0,0.0
2019-01-01 22:00:00,0.0,0.0,0.0
2019-01-01 23:00:00,0.0,0.0,0.0
2019-01-02 00:00:00,0.0,0.0,0.0
2019-01-02 01:00:00,0.0,0.0,0.0
2019-01-02 02:00:00,0.0,0.0,0.0
2019-01-02 03:00:00,0.0,0.0,0.0
2019-01-02 04:00:00,0.0,0.0,0.0
2019-01-02 05:00:00,0.0,0.0,0.0
2019-01-02 06:00:00,0.0,0.0,0.0
2019-01-02 07:00:00,225.45,97.62,23.69
2019-01-02 08:00:00,557.06,276.65,54.67
2019-01-02 09:00:00,681.86,362.16,111.79
2019-01-02 10:00:00,332.61,260.41,218.28
2019-01-02 11:00:00,140.16,150.26,143.36
2019-01-02 12:00:00,33.06,35.82,34.19
2019-01-02 13:00:00,590.72,250.93,450.67
2019-01-02 14:00:00,59.69,64.68,61.73
2019-01-02 15:00:00,4.3,4.95,4.56
2019-01-02 16:00:00,0.0,0.0,0.0
2019-01-02 17:00:00,0.0,0.0,0.0
2019-01-02 18:00:00,0.0,0.0,0.0
2019-01-02 19:00:00,0.0,0.0,0.0
