time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,-1.91,2.14,0.0
20190101:0110,0.0,0.0,0.0,-2.68,2.14,0.0
20190101:0210,0.0,0.0,0.0,-2.98,2.07,0.0
20190101:0310,0.0,0.0,0.0,-3.06,2.0,0.0
20190101:0410,0.0,0.0,0.0,-3.47,1.93,0.0
20190101:0510,0.0,0.0,0.0,-3.56,1.66,0.0
20190101:0610,0.0,0.0,0.0,-3.92,1.66,0.0
20190101:0710,249.87,286.98,4.69,-3.34,1.66,0.0
20190101:0810,538.53,611.7,12.89,-1.6,1.66,0.0
20190101:0910,667.87,775.15,19.35,0.61,1.86,0.0
20190101:1010,752.05,890.47,23.52,1.6,1.72,0.0
20190101:1110,755.63,903.84,24.96,2.63,1.52,0.0
20190101:1210,684.66,815.88,23.46,3.39,1.31,0.0
20190101:1310,554.44,651.95,19.23,3.71,1.24,0.0
20190101:1410,387.72,457.56,12.73,3.74,1.1,0.0
20190101:1510,5.73,16.35,4.5,3.15,0.69,0.0
20190101:1610,0.0,0.0,0.0,2.67,0.62,0.0
20190101:1710,0.0,0.0,0.0,2.04,0.48,0.0
20190101:1810,0.0,0.0,0.0,1.63,0.48,0.0
20190101:1910,0.0,0.0,0.0,0.99,0.55,0.0
20190101:2010,0.0,0.0,0.0,0.59,0.48,0.0
20190101:2110,0.0,0.0,0.0,0.35,0.34,0.0
20190101:2210,0.0,0.0,0.0,0.33,0.34,0.0
20190101:2310,0.0,0.0,0.0,0.53,0.21,0.0
20190102:0010,0.0,0.0,0.0,0.97,0.14,0.0
20190102:0110,0.0,0.0,0.0,1.57,0.34,0.0
20190102:0210,0.0,0.0,0.0,1.8,0.55,0.0
20190102:0310,0.0,0.0,0.0,1.88,0.55,0.0
20190102:0410,0.0,0.0,0.0,1.86,0.48,0.0
20190102:0510,0.0,0.0,0.0,1.77,0.41,0.0
20190102:0610,0.0,0.0,0.0,1.76,0.34,0.0
20190102:0710,187.63,225.45,4.69,1.53,0.34,0.0
20190102:0810,478.94,557.06,12.9,2.1,0.76,0.0
20190102:0910,578.25,681.86,19.39,3.14,0.9,0.0
20190102:1010,281.98,332.61,23.59,5.11,1.24,0.0
20190102:1110,108.24,140.16,25.04,6.09,1.45,0.0
20190102:1210,17.32,33.06,23.57,6.25,2.21,0.0
20190102:1310,507.21,590.72,19.35,5.29,2.48,0.0
20190102:1410,39.04,59.69,12.86,3.66,2.21,0.0
20190102:1510,0.0,4.3,4.63,2.33,1.86,0.0
20190102:1610,0.0,0.0,0.0,0.75,2.0,0.0
20190102:1710,0.0,0.0,0.0,-0.62,2.07,0.0
20190102:1810,0.0,0.0,0.0,-1.61,2.14,0.0
20190102:1910,0.0,0.0,0.0,-1.42,2.48,0.0
20190102:2010,0.0,0.0,0.0,-1.8,2.07,0.0
20190102:2110,0.0,0.0,0.0,-1.79,1.93,0.0
20190102:2210,0.0,0.0,0.0,-1.99,2.28,0.0
20190102:2310,0.0,0.0,0.0,-2.44,2.34,0.0
20190103:0010,0.0,0.0,0.0,-2.93,2.07,0.0
20190103:0110,0.0,0.0,0.0,-3.64,1.72,0.0
20190103:0210,0.0,0.0,0.0,-3.88,1.59,0.0
20190103:0310,0.0,0.0,0.0,-3.75,1.52,0.0
20190103:0410,0.0,0.0,0.0,-3.66,1.52,0.0
20190103:0510,0.0,0.0,0.0,-4.04,1.38,0.0
20190103:0610,0.0,0.0,0.0,-4.36,1.38,0.0
20190103:0710,6.11,16.53,4.69,-4.1,1.72,0.0
20190103:0810,319.36,359.03,12.93,-3.19,1.72,0.0
20190103:0910,387.24,433.38,19.43,-2.17,2.69,0.0
20190103:1010,432.04,483.77,23.66,-1.52,3.24,0.0
20190103:1110,239.65,275.13,25.14,-1.78,3.17,0.0
20190103:1210,528.45,593.26,23.68,-1.93,2.9,0.0
20190103:1310,280.83,318.1,19.48,-2.24,3.03,0.0
20190103:1410,80.25,104.34,12.99,-2.55,3.03,0.0
20190103:1510,7.11,18.07,4.77,-3.13,2.41,0.0
20190103:1610,0.0,0.0,0.0,-3.79,2.21,0.0
20190103:1710,0.0,0.0,0.0,-4.19,2.14,0.0
20190103:1810,0.0,0.0,0.0,-4.27,1.86,0.0
20190103:1910,0.0,0.0,0.0,-4.11,2.07,0.0
