time,G(i)_East,G(i)_South,G(i)_West,Tot_Production [W/m2]
20190101:0010,0.0,0.0,0.0,0.0
20190101:0110,0.0,0.0,0.0,0.0
20190101:0210,0.0,0.0,0.0,0.0
20190101:0310,0.0,0.0,0.0,0.0
20190101:0410,0.0,0.0,0.0,0.0
20190101:0510,0.0,0.0,0.0,0.0
20190101:0610,0.0,0.0,0.0,0.0
20190101:0710,117.69,286.98,19.14,177.6975
20190101:0810,295.64,611.7,42.83,390.46750000000003
20190101:0910,394.61,775.15,98.75,510.91499999999996
20190101:1010,449.79,890.47,263.87,623.6500000000001
20190101:1110,441.25,903.84,401.79,662.6800000000001
20190101:1210,372.47,815.88,482.08,621.5775
20190101:1310,258.95,651.95,490.54,513.3475000000001
20190101:1410,120.5,457.56,443.29,369.72749999999996
20190101:1510,18.82,16.35,17.31,17.2075
20190101:1610,0.0,0.0,0.0,0.0
20190101:1710,0.0,0.0,0.0,0.0
20190101:1810,0.0,0.0,0.0,0.0
20190101:1910,0.0,0.0,0.0,0.0
20190101:2010,0.0,0.0,0.0,0.0
20190101:2110,0.0,0.0,0.0,0.0
20190101:2210,0.0,0.0,0.0,0.0
20190101:2310,0.0,0.0,0.0,0.0
20190102:0010,0.0,0.0,0.0,0.0
20190102:0110,0.0,0.0,0.0,0.0
20190102:0210,0.0,0.0,0.0,0.0
20190102:0310,0.0,0.0,0.0,0.0
20190102:0410,0.0,0.0,0.0,0.0
20190102:0510,0.0,0.0,0.0,0.0
20190102:0610,0.0,0.0,0.0,0.0
20190102:0710,97.62,225.45,23.69,143.0525
20190102:0810,276.65,557.06,54.67,361.35999999999996
20190102:0910,362.16,681.86,111.79,459.4175
20190102:1010,260.41,332.61,218.28,285.9775
20190102:1110,150.26,140.16,143.36,143.485
20190102:1210,35.82,33.06,34.19,34.0325
20190102:1310,250.93,590.72,450.67,470.76
20190102:1410,64.68,59.69,61.73,61.4475
20190102:1510,4.95,4.3,4.56,4.5275
20190102:1610,0.0,0.0,0.0,0.0
20190102:1710,0.0,0.0,0.0,0.0
20190102:1810,0.0,0.0,0.0,0.0
20190102:1910,0.0,0.0,0.0,0.0
20190102:2010,0.0,0.0,0.0,0.0
20190102:2110,0.0,0.0,0.0,0.0
20190102:2210,0.0,0.0,0.0,0.0
20190102:2310,0.0,0.0,0.0,0.0
20190103:0010,0.0,0.0,0.0,0.0
20190103:0110,0.0,0.0,0.0,0.0
20190103:0210,0.0,0.0,0.0,0.0
20190103:0310,0.0,0.0,0.0,0.0
20190103:0410,0.0,0.0,0.0,0.0
20190103:0510,0.0,0.0,0.0,0.0
20190103:0610,0.0,0.0,0.0,0.0
20190103:0710,17.91,16.53,16.4,16.8425
20190103:0810,208.85,359.03,88.39,253.825
20190103:0910,278.95,433.38,149.73,323.86
20190103:1010,321.13,483.77,244.22,383.22249999999997
20190103:1110,241.71,275.13,229.28,255.3125
20190103:1210,326.03,593.26,390.1,475.6625
20190103:1310,208.88,318.1,272.95,279.5075
20190103:1410,94.43,104.34,106.33,102.36
20190103:1510,20.8,18.07,19.14,19.02
20190103:1610,0.0,0.0,0.0,0.0
20190103:1710,0.0,0.0,0.0,0.0
20190103:1810,0.0,0.0,0.0,0.0
20190103:1910,0.0,0.0,0.0,0.0
20190103:2010,0.0,0.0,0.0,0.0
20190103:2110,0.0,0.0,0.0,0.0
20190103:2210,0.0,0.0,0.0,0.0
20190103:2310,0.0,0.0,0.0,0.0
20190104:0010,0.0,0.0,0.0,0.0
20190104:0110,0.0,0.0,0.0,0.0
20190104:0210,0.0,0.0,0.0,0.0
20190104:0310,0.0,0.0,0.0,0.0
20190104:0410,0.0,0.0,0.0,0.0
20190104:0510,0.0,0.0,0.0,0.0
20190104:0610,0.0,0.0,0.0,0.0
20190104:0710,15.92,14.69,14.58,14.969999999999999
20190104:0810,92.85,94.76,79.28,90.4125
20190104:0910,136.42,132.88,125.52,131.925
20190104:1010,88.56,81.73,84.52,84.13499999999999
20190104:1110,100.51,92.75,95.92,95.4825
20190104:1210,217.65,244.54,219.53,231.565
20190104:1310,176.2,208.18,194.86,196.85500000000002
20190104:1410,121.5,212.52,210.45,189.2475
20190104:1510,22.79,19.79,20.96,20.8325
20190104:1610,0.0,0.0,0.0,0.0
20190104:1710,0.0,0.0,0.0,0.0
20190104:1810,0.0,0.0,0.0,0.0
20190104:1910,0.0,0.0,0.0,0.0
20190104:2010,0.0,0.0,0.0,0.0
20190104:2110,0.0,0.0,0.0,0.0
20190104:2210,0.0,0.0,0.0,0.0
20190104:2310,0.0,0.0,0.0,0.0
20190105:0010,0.0,0.0,0.0,0.0
20190105:0110,0.0,0.0,0.0,0.0
20190105:0210,0.0,0.0,0.0,0.0
20190105:0310,0.0,0.0,0.0,0.0
20190105:0410,0.0,0.0,0.0,0.0
20190105:0510,0.0,0.0,0.0,0.0
20190105:0610,0.0,0.0,0.0,0.0
20190105:0710,80.2,170.75,26.43,112.0325
20190105:0810,182.53,288.05,92.94,212.8925
20190105:0910,236.27,322.68,155.59,259.305
20190105:1010,290.55,402.0,232.17,331.68
20190105:1110,319.24,473.97,298.83,391.5025
20190105:1210,297.26,477.74,338.19,397.7325
20190105:1310,209.99,318.76,273.46,280.2425
20190105:1410,128.27,356.75,346.96,297.1825
20190105:1510,10.9,9.47,10.02,9.965
20190105:1610,0.0,0.0,0.0,0.0
20190105:1710,0.0,0.0,0.0,0.0
20190105:1810,0.0,0.0,0.0,0.0
20190105:1910,0.0,0.0,0.0,0.0
20190105:2010,0.0,0.0,0.0,0.0
20190105:2110,0.0,0.0,0.0,0.0
20190105:2210,0.0,0.0,0.0,0.0
20190105:2310,0.0,0.0,0.0,0.0
20190106:0010,0.0,0.0,0.0,0.0
20190106:0110,0.0,0.0,0.0,0.0
20190106:0210,0.0,0.0,0.0,0.0
20190106:0310,0.0,0.0,0.0,0.0
20190106:0410,0.0,0.0,0.0,0.0
20190106:0510,0.0,0.0,0.0,0.0
20190106:0610,0.0,0.0,0.0,0.0
20190106:0710,116.09,276.57,20.05,172.32
20190106:0810,242.16,450.86,74.72,304.65
20190106:0910,348.18,629.21,121.36,431.99
20190106:1010,269.12,347.19,223.27,296.6925
20190106:1110,363.95,615.21,336.7,482.76750000000004
20190106:1210,332.21,612.84,397.93,488.95500000000004
20190106:1310,220.85,362.33,303.24,312.1875
20190106:1410,130.81,409.98,397.41,337.045
20190106:1510,23.78,20.65,21.87,21.7375
20190106:1610,0.0,0.0,0.0,0.0
20190106:1710,0.0,0.0,0.0,0.0
20190106:1810,0.0,0.0,0.0,0.0
20190106:1910,0.0,0.0,0.0,0.0
20190106:2010,0.0,0.0,0.0,0.0
20190106:2110,0.0,0.0,0.0,0.0
20190106:2210,0.0,0.0,0.0,0.0
20190106:2310,0.0,0.0,0.0,0.0
20190107:0010,0.0,0.0,0.0,0.0
20190107:0110,0.0,0.0,0.0,0.0
20190107:0210,0.0,0.0,0.0,0.0
20190107:0310,0.0,0.0,0.0,0.0
20190107:0410,0.0,0.0,0.0,0.0
20190107:0510,0.0,0.0,0.0,0.0
20190107:0610,0.0,0.0,0.0,0.0
20190107:0710,73.34,148.8,27.34,99.57000000000001
20190107:0810,187.69,299.94,92.03,219.9
20190107:0910,320.32,545.74,134.57,386.5925
20190107:1010,377.9,648.54,255.47,482.61249999999995
20190107:1110,370.04,631.32,341.31,493.49750000000006
20190107:1210,334.33,614.4,399.34,490.61749999999995
20190107:1310,233.81,419.99,342.03,353.955
20190107:1410,124.84,214.18,212.13,191.3325
20190107:1510,34.67,30.12,31.89,31.700000000000003
20190107:1610,0.0,0.0,0.0,0.0
20190107:1710,0.0,0.0,0.0,0.0
20190107:1810,0.0,0.0,0.0,0.0
20190107:1910,0.0,0.0,0.0,0.0
20190107:2010,0.0,0.0,0.0,0.0
20190107:2110,0.0,0.0,0.0,0.0
20190107:2210,0.0,0.0,0.0,0.0
20190107:2310,0.0,0.0,0.0,0.0
20190108:0010,0.0,0.0,0.0,0.0
20190108:0110,0.0,0.0,0.0,0.0
20190108:0210,0.0,0.0,0.0,0.0
