time,Tot_Production [W/m2]
20190101:0010,0.0
20190101:0110,0.0
20190101:0210,0.0
20190101:0310,0.0
20190101:0410,0.0
20190101:0510,0.0
20190101:0610,0.0
20190101:0710,177.6975
20190101:0810,390.46750000000003
20190101:0910,510.91499999999996
20190101:1010,623.6500000000001
20190101:1110,662.6800000000001
20190101:1210,621.5775
20190101:1310,513.3475000000001
20190101:1410,369.72749999999996
20190101:1510,17.2075
20190101:1610,0.0
20190101:1710,0.0
20190101:1810,0.0
20190101:1910,0.0
20190101:2010,0.0
20190101:2110,0.0
20190101:2210,0.0
20190101:2310,0.0
20190102:0010,0.0
20190102:0110,0.0
20190102:0210,0.0
20190102:0310,0.0
20190102:0410,0.0
20190102:0510,0.0
20190102:0610,0.0
20190102:0710,143.0525
20190102:0810,361.35999999999996
20190102:0910,459.4175
20190102:1010,285.9775
20190102:1110,143.485
20190102:1210,34.0325
20190102:1310,470.76
20190102:1410,61.4475
20190102:1510,4.5275
20190102:1610,0.0
20190102:1710,0.0
20190102:1810,0.0
20190102:1910,0.0
20190102:2010,0.0
20190102:2110,0.0
20190102:2210,0.0
20190102:2310,0.0
20190103:0010,0.0
20190103:0110,0.0
20190103:0210,0.0
20190103:0310,0.0
20190103:0410,0.0
20190103:0510,0.0
20190103:0610,0.0
20190103:0710,16.8425
20190103:0810,253.825
20190103:0910,323.86
20190103:1010,383.22249999999997
20190103:1110,255.3125
20190103:1210,475.6625
20190103:1310,279.5075
20190103:1410,102.36
20190103:1510,19.02
20190103:1610,0.0
20190103:1710,0.0
20190103:1810,0.0
20190103:1910,0.0
20190103:2010,0.0
20190103:2110,0.0
20190103:2210,0.0
20190103:2310,0.0
20190104:0010,0.0
20190104:0110,0.0
20190104:0210,0.0
20190104:0310,0.0
20190104:0410,0.0
20190104:0510,0.0
20190104:0610,0.0
20190104:0710,14.969999999999999
20190104:0810,90.4125
20190104:0910,131.925
20190104:1010,84.13499999999999
20190104:1110,95.4825
20190104:1210,231.565
20190104:1310,196.85500000000002
20190104:1410,189.2475
20190104:1510,20.8325
20190104:1610,0.0
20190104:1710,0.0
20190104:1810,0.0
20190104:1910,0.0
20190104:2010,0.0
20190104:2110,0.0
20190104:2210,0.0
20190104:2310,0.0
20190105:0010,0.0
20190105:0110,0.0
20190105:0210,0.0
20190105:0310,0.0
20190105:0410,0.0
20190105:0510,0.0
