full_id,osm_id,osm_type,Building Area
r6994474,6994474,relation,"2126,07"
r7029524,7029524,relation,"1417,46"
r7171941,7171941,relation,"2950,09"
r8699736,8699736,relation,"297,77"
w158852142,158852142,way,"428,86"
w211715359,211715359,way,"10997,95"
w211715360,211715360,way,"4347,32"
w211715361,211715361,way,"6673,6"
w222798664,222798664,way,"1667,52"
w246792829,246792829,way,"1277,89"
w275970161,275970161,way,"381,05"
w276462198,276462198,way,"1597,79"
w276462425,276462425,way,"2101,84"
w276462596,276462596,way,"6917,77"
w276465517,276465517,way,"4254,66"
w276612247,276612247,way,"752,39"
w276614920,276614920,way,"544,84"
w306190105,306190105,way,"423,46"
w310793317,310793317,way,"2849,37"
w334608597,334608597,way,"1242,48"
w360350164,360350164,way,"4278,42"
w451463764,451463764,way,"148,36"
w457081001,457081001,way,"5026,58"
w457081002,457081002,way,"288,34"
w469681591,469681591,way,"846,75"
w470854913,470854913,way,"12411,42"
w470857032,470857032,way,"4210,54"
w470857041,470857041,way,"3609,05"
w470857149,470857149,way,"3200,93"
w470857717,470857717,way,"1713,6"
w470861033,470861033,way,"1452,42"
w470873257,470873257,way,"168,19"
w471794722,471794722,way,"1488,02"
w471798098,471798098,way,"2252,21"
w471806511,471806511,way,"2117,49"
w471807964,471807964,way,601
w471808314,471808314,way,"311,12"
w471814282,471814282,way,"632,72"
w471826095,471826095,way,"358,11"
w471832770,471832770,way,"627,18"
w471833472,471833472,way,"556,9"
w471834676,471834676,way,"925,9"
w471847569,471847569,way,"240,4"
w471868674,471868674,way,"635,48"
w471870777,471870777,way,"771,24"
w471892367,471892367,way,"897,22"
w471937110,471937110,way,"2158,68"
w471949662,471949662,way,"920,88"
w471950486,471950486,way,"3183,88"
w471960417,471960417,way,"2569,82"
w471961055,471961055,way,"978,07"
w471961056,471961056,way,"275,96"
w471963602,471963602,way,"7248,54"
w471964854,471964854,way,"886,93"
w471966641,471966641,way,"5990,79"
w471968311,471968311,way,"406,65"
w472275200,472275200,way,"1780,62"
w472275205,472275205,way,"132,69"
w472275544,472275544,way,"27932,94"
w472369085,472369085,way,"1143,14"
w472392544,472392544,way,"1089,38"
w472398031,472398031,way,"234,78"
w472411995,472411995,way,"54,08"
w472418907,472418907,way,"828,7"
w472420794,472420794,way,"183,71"
w472423762,472423762,way,"442,39"
w472427810,472427810,way,"1225,1"
w472427813,472427813,way,"2304,2"
w473444135,473444135,way,"4680,22"
w473453431,473453431,way,397
w475448882,475448882,way,"94,44"
w475449239,475449239,way,"127,02"
w475616869,475616869,way,"637,34"
w475691042,475691042,way,"3667,42"
w475720681,475720681,way,"17289,03"
w475726035,475726035,way,"915,68"
w475743546,475743546,way,"1916,52"
w475955282,475955282,way,"1164,31"
w476744098,476744098,way,"837,54"
w476748298,476748298,way,"104,48"
w476751523,476751523,way,"3256,47"
w476752904,476752904,way,"1153,38"
w476754097,476754097,way,"549,57"
w476767732,476767732,way,"5335,77"
w477680540,477680540,way,"2108,97"
w477681559,477681559,way,"308,6"
w477683531,477683531,way,"1259,12"
w478154604,478154604,way,"196,03"
w478824512,478824512,way,"114,71"
w478919470,478919470,way,"16,48"
w482560351,482560351,way,"550,13"
w482663286,482663286,way,"380,1"
w482663294,482663294,way,"412,93"
w482692533,482692533,way,"1299,45"
w482693532,482693532,way,"12627,63"
w482824932,482824932,way,"2014,49"
