fid,full_id,osm_id,Area
414,w538115135,538115135,1002
419,w539745507,539745507,179
420,w539745509,539745509,366
417,w539744156,539744156,276
418,w539744157,539744157,210
416,w539744154,539744154,297
415,w539744152,539744152,399
476,w881558057,881558057,8291
475,w881558056,881558056,660
477,w881558058,881558058,234
500,w1086210741,1086210741,505
501,w1086210742,1086210742,362
502,w1086210743,1086210743,130
503,w1086210744,1086210744,771
504,w1086210745,1086210745,944
505,w1086210746,1086210746,173
506,w1086210747,1086210747,230
507,w1086210748,1086210748,1926
508,w1086210749,1086210749,2630
509,w1086210750,1086210750,750
510,w1086210751,1086210751,1111
511,w1086210754,1086210754,95
512,w1086210755,1086210755,242
513,w1086210756,1086210756,55
514,w1086210757,1086210757,22
515,w1086210758,1086210758,257
516,w1086210759,1086210759,1167
421,w541440130,541440130,326
424,w541771258,541771258,167
423,w541771257,541771257,151
422,w541771256,541771256,197
425,w541775485,541775485,369
429,w541965080,541965080,266
433,w541965088,541965088,1306
435,w541965090,541965090,56
434,w541965089,541965089,211
430,w541965085,541965085,1196
432,w541965087,541965087,961
431,w541965086,541965086,421
426,w541965074,541965074,311
427,w541965075,541965075,123
428,w541965076,541965076,32
400,w534569504,534569504,499
399,w534569499,534569499,936
403,w534572400,534572400,1252
402,w534572399,534572399,897
406,w534573307,534573307,397
405,w534573304,534573304,290
401,w534572395,534572395,396
407,w535349132,535349132,401
410,w535351158,535351158,747
404,w534573300,534573300,809
398,w534565236,534565236,459
411,w535351160,535351160,800
397,w534565230,534565230,314
408,w535349142,535349142,973
412,w535355476,535355476,1014
409,w535349143,535349143,88
413,w535355480,535355480,835
436,w541965095,541965095,1196
