full_id,osm_id,osm_type,Area
w158853557,158853557,way,"157,36"
w158853558,158853558,way,"83,38"
w158853559,158853559,way,"113,18"
w211715359,211715359,way,"10997,95"
w246792829,246792829,way,"1277,89"
w276462198,276462198,way,"1597,79"
w276462425,276462425,way,"2101,84"
w276612247,276612247,way,"752,39"
w276614920,276614920,way,"544,84"
w276734031,276734031,way,"1163,4"
w298690124,298690124,way,"210,18"
w298890320,298890320,way,"1126,56"
w298890321,298890321,way,"2210,93"
w298890322,298890322,way,"1670,16"
w298890323,298890323,way,"146,76"
w298890324,298890324,way,"684,2"
w298890325,298890325,way,"571,62"
w298890326,298890326,way,"543,36"
w298890327,298890327,way,"194,17"
w298890328,298890328,way,"120,42"
w298890329,298890329,way,"367,36"
w298890330,298890330,way,"215,02"
w298890331,298890331,way,"236,05"
w298890332,298890332,way,"117,8"
w298890333,298890333,way,"95,37"
w306190105,306190105,way,"423,46"
w306190106,306190106,way,"260,2"
w310793316,310793316,way,"43,11"
w312899217,312899217,way,"473,98"
w332759543,332759543,way,"217,43"
w332759544,332759544,way,"260,81"
w332759545,332759545,way,"148,11"
w332759546,332759546,way,"242,26"
w332759547,332759547,way,"216,26"
w332759548,332759548,way,"281,55"
w332759549,332759549,way,"258,69"
w332759550,332759550,way,"270,89"
w332759551,332759551,way,"356,7"
w332759552,332759552,way,"206,85"
w332759553,332759553,way,"156,4"
w332759555,332759555,way,"226,89"
w332759556,332759556,way,"280,19"
w332759557,332759557,way,"189,49"
w332759558,332759558,way,"208,28"
w332759559,332759559,way,"149,32"
w370145123,370145123,way,"226,76"
w404706714,404706714,way,"442,89"
w404706716,404706716,way,"442,93"
w404706718,404706718,way,"254,1"
w404706719,404706719,way,"239,02"
w451463764,451463764,way,"148,36"
w451463765,451463765,way,"419,51"
w451463766,451463766,way,"202,3"
w451463767,451463767,way,"85,79"
w451463768,451463768,way,"92,89"
w451463769,451463769,way,"404,63"
w457081001,457081001,way,"5026,58"
w457081002,457081002,way,"288,34"
w457081003,457081003,way,"2235,19"
w457081004,457081004,way,"578,89"
w457081005,457081005,way,"450,7"
w457081006,457081006,way,"215,82"
w469487122,469487122,way,"242,55"
w469681591,469681591,way,"846,75"
w470871310,470871310,way,"60,5"
w470871311,470871311,way,"143,87"
w470871312,470871312,way,"138,76"
w470871313,470871313,way,"220,55"
w470871806,470871806,way,"281,26"
w470871807,470871807,way,"199,74"
w470871808,470871808,way,"352,62"
w470871809,470871809,way,"139,83"
w470871810,470871810,way,"211,16"
w470871811,470871811,way,"154,42"
w470871812,470871812,way,"312,37"
w470871813,470871813,way,"231,22"
w470871814,470871814,way,"171,84"
w470871815,470871815,way,"185,75"
w470872321,470872321,way,"202,97"
w470873221,470873221,way,"534,22"
w470873223,470873223,way,"216,47"
w470873225,470873225,way,"162,2"
w470873227,470873227,way,"172,31"
w470873229,470873229,way,"215,47"
w470873231,470873231,way,"156,47"
w470873233,470873233,way,"139,62"
w470873235,470873235,way,"637,15"
w470873237,470873237,way,"213,28"
w470873239,470873239,way,"212,53"
w470873241,470873241,way,"209,14"
w470873244,470873244,way,"431,07"
w470873246,470873246,way,"311,44"
w470873248,470873248,way,"68,44"
w470873250,470873250,way,"351,64"
w470873253,470873253,way,"93,57"
w470873255,470873255,way,"247,44"
w470873257,470873257,way,"168,19"
w470873259,470873259,way,"296,28"
w470873379,470873379,way,"218,47"
w470873566,470873566,way,"296,88"
w470873567,470873567,way,"328,13"
w470873568,470873568,way,"370,67"
w470873569,470873569,way,"271,2"
w470873570,470873570,way,"232,19"
w470873571,470873571,way,"171,87"
w470873572,470873572,way,"123,74"
w470873573,470873573,way,"171,65"
w470873574,470873574,way,"122,32"
w471798098,471798098,way,"2252,21"
w471807964,471807964,way,601
w471808314,471808314,way,"311,12"
w471809767,471809767,way,"3279,68"
w471814282,471814282,way,"632,72"
w471816936,471816936,way,"185,94"
w471819853,471819853,way,"287,88"
w471826095,471826095,way,"358,11"
w471832770,471832770,way,"627,18"
w471832841,471832841,way,"226,55"
w471833372,471833372,way,"963,44"
w471833472,471833472,way,"556,9"
w471834403,471834403,way,"1196,37"
w471834445,471834445,way,"247,13"
w471834676,471834676,way,"925,9"
w471834801,471834801,way,"363,92"
w471835958,471835958,way,"498,46"
w471836858,471836858,way,"561,88"
w471837297,471837297,way,"693,63"
w471840202,471840202,way,"584,79"
w471842406,471842406,way,"664,5"
w471842407,471842407,way,"239,71"
w471842409,471842409,way,"1452,36"
w471842881,471842881,way,"574,94"
w471845254,471845254,way,"843,33"
w471846970,471846970,way,"841,08"
w471846971,471846971,way,"323,64"
w471846972,471846972,way,"266,15"
w471846973,471846973,way,"851,02"
w471846974,471846974,way,"841,64"
w471846975,471846975,way,"268,88"
w471846976,471846976,way,"282,2"
w471847150,471847150,way,"254,9"
w471847152,471847152,way,"242,81"
w471847153,471847153,way,246
w471847569,471847569,way,"240,4"
w471850275,471850275,way,"469,82"
w471850276,471850276,way,"263,7"
w471850277,471850277,way,"250,45"
w471850313,471850313,way,"472,85"
w471851495,471851495,way,"252,47"
w471851496,471851496,way,"254,48"
w471851497,471851497,way,"252,41"
w471851499,471851499,way,"832,73"
w471853909,471853909,way,"328,37"
w471853912,471853912,way,"450,12"
w471853914,471853914,way,"491,47"
w471853916,471853916,way,"1243,65"
w471853918,471853918,way,"820,21"
w471857523,471857523,way,"123,11"
w471864947,471864947,way,"284,64"
w471864948,471864948,way,"157,88"
w471864949,471864949,way,"363,77"
w471864950,471864950,way,"323,59"
w471864951,471864951,way,"313,24"
w471864952,471864952,way,"55,18"
w471864953,471864953,way,"231,64"
w471864954,471864954,way,"150,37"
w471864955,471864955,way,"309,5"
w471864956,471864956,way,"360,86"
w471864957,471864957,way,"868,63"
w471864958,471864958,way,"219,92"
w471864959,471864959,way,"418,5"
w471864960,471864960,way,"201,62"
w471864961,471864961,way,"122,54"
w471864962,471864962,way,"184,65"
w471864963,471864963,way,"148,39"
w471864964,471864964,way,"123,93"
w471864965,471864965,way,"114,66"
w471864966,471864966,way,"469,11"
w471864967,471864967,way,"163,55"
w471864968,471864968,way,"386,68"
w471864969,471864969,way,"270,65"
w471868674,471868674,way,"635,48"
w471870777,471870777,way,"771,24"
w471871956,471871956,way,"5951,39"
w471878469,471878469,way,"502,55"
w471891097,471891097,way,"1505,03"
w471892177,471892177,way,"354,8"
w471948183,471948183,way,"140,08"
w471948184,471948184,way,"110,32"
w471948185,471948185,way,"244,87"
w471948186,471948186,way,"590,03"
w471948569,471948569,way,"510,25"
w471952171,471952171,way,1472
w471955677,471955677,way,"48,7"
w471955678,471955678,way,"190,17"
w471955679,471955679,way,"96,44"
w471955680,471955680,way,"76,8"
w471955681,471955681,way,"70,99"
w471955682,471955682,way,"98,31"
w471955683,471955683,way,"44,82"
w471972076,471972076,way,"743,1"
w471973969,471973969,way,"285,4"
w471973970,471973970,way,"210,63"
w471973971,471973971,way,"77,72"
w471973972,471973972,way,"210,07"
w471973973,471973973,way,"154,1"
w471973974,471973974,way,"293,91"
w471973975,471973975,way,"284,71"
w471973976,471973976,way,"207,08"
w471974874,471974874,way,"121,83"
w471974875,471974875,way,"180,39"
