Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
0,r6994474,6994474,relation,2126.07,224.03462625,0.3,0.3,0.4
1,r7029524,7029524,relation,1417.46,149.3648475,0.26,0.3,0.44
2,r7171941,7171941,relation,2950.09,310.86573375,0.36,0.43,0.21
3,r8699736,8699736,relation,297.77,31.37751375,0.69,0.17,0.14
4,w158852142,158852142,way,428.86,45.1911225,0.41,0.27,0.32
5,w211715359,211715359,way,10997.95,1158.90898125,0.55,0.33,0.12
6,w211715360,211715360,way,4347.32,458.0988449999999,0.4599999999999999,0.42,0.12
7,w211715361,211715361,way,6673.6,703.2306,0.48,0.1699999999999999,0.35
8,w222798664,222798664,way,1667.52,175.71491999999998,0.15,0.26,0.59
9,w246792829,246792829,way,1277.89,134.65765875,0.36,0.48,0.16
10,w275970161,275970161,way,381.05,40.15314375,0.15,0.3,0.55
11,w276462198,276462198,way,1597.79,168.36712125,0.51,0.39,0.1
12,w276462425,276462425,way,2101.84,221.48139,0.1,0.62,0.28
13,w276462596,276462596,way,6917.77,728.96001375,0.29,0.35,0.36
14,w276465517,276465517,way,4254.66,448.3347975,0.2299999999999999,0.35,0.42
15,w276612247,276612247,way,752.39,79.28309625,0.55,0.2799999999999999,0.17
16,w276614920,276614920,way,544.84,57.412515,0.3999999999999999,0.3,0.3
17,w306190105,306190105,way,423.46,44.6220975,0.5,0.37,0.13
18,w310793317,310793317,way,2849.37,300.25236375,0.12,0.32,0.56
19,w334608597,334608597,way,1242.48,130.92633,0.01,0.68,0.31
20,w360350164,360350164,way,4278.42,450.8385075,0.38,0.46,0.16
21,w451463764,451463764,way,148.36,15.633435,0.25,0.18,0.57
22,w457081001,457081001,way,5026.58,529.6758675,0.35,0.47,0.18
23,w457081002,457081002,way,288.34,30.383827499999995,0.36,0.47,0.17
24,w469681591,469681591,way,846.75,89.22628125,0.49,0.45,0.06
25,w470854913,470854913,way,12411.42,1307.8533825,0.25,0.36,0.39
26,w470857032,470857032,way,4210.54,443.6856525,0.37,0.26,0.37
27,w470857041,470857041,way,3609.05,380.30364375,0.13,0.45,0.42
28,w470857149,470857149,way,3200.93,337.29799875,0.19,0.57,0.24
29,w470857717,470857717,way,1713.6,180.5706,0.34,0.42,0.24
30,w470861033,470861033,way,1452.42,153.0487575,0.15,0.48,0.37
31,w470873257,470873257,way,168.19,17.72302125,0.38,0.54,0.08
32,w471794722,471794722,way,1488.02,156.8001075,0.13,0.76,0.11
33,w471798098,471798098,way,2252.21,237.32662875,0.43,0.13,0.44
34,w471806511,471806511,way,2117.49,223.13050875,0.39,0.32,0.29
35,w471807964,471807964,way,601,63.330375,0.1699999999999999,0.06,0.77
36,w471808314,471808314,way,311.12,32.78427,0.07,0.72,0.21
37,w471814282,471814282,way,632.72,66.67287,0.16,0.38,0.46
38,w471826095,471826095,way,358.11,37.73584125,0.43,0.56,0.01
