Unnamed: 0,fid,full_id,osm_id,Building Area,Area,S_coeff,W_coeff,E_coeff
0,414,w538115135,538115135,1002,168.6920491726863,0.4,0.26,0.34
1,419,w539745507,539745507,179,30.135605590729387,0.2799999999999999,0.37,0.35
2,420,w539745509,539745509,366,61.61805388942433,0.73,0.27,0.0
3,417,w539744156,539744156,276,46.46607342481179,0.14,0.39,0.47
4,418,w539744157,539744157,210,35.354621084095925,0.46,0.17,0.37
5,416,w539744154,539744154,297,50.001535533221386,0.24,0.39,0.37
6,415,w539744152,539744152,399,67.17378005978226,0.04,0.26,0.7
7,476,w881558057,881558057,8291,1395.8341114678065,0.29,0.46,0.25
8,475,w881558056,881558056,660,111.11452340715864,0.27,0.19,0.54
9,477,w881558058,881558058,234,39.3951492079926,0.36,0.36,0.28
10,500,w1086210741,1086210741,505,85.01944594032592,0.15,0.25,0.6
11,501,w1086210742,1086210742,362,60.94463253544155,0.38,0.16,0.46
12,502,w1086210743,1086210743,130,21.886194004440338,0.45,0.49,0.06
13,503,w1086210744,1086210744,771,129.80196598018077,0.44,0.24,0.32
14,504,w1086210745,1086210745,944,158.927439539936,0.19,0.69,0.12
15,505,w1086210746,1086210746,173,29.125473559755218,0.17,0.4,0.43
16,506,w1086210747,1086210747,230,38.72172785400983,0.85,0.08,0.07
17,507,w1086210748,1086210748,1926,324.2523819427084,0.42,0.33,0.25
18,508,w1086210749,1086210749,2630,442.7745402436776,0.4,0.32,0.28
19,509,w1086210750,1086210750,750,126.26650387177118,0.6,0.21,0.19
20,510,w1086210751,1086210751,1111,187.04278106871703,0.05,0.52,0.43
21,511,w1086210754,1086210754,95,15.993757157091014,0.47,0.52,0.01
22,512,w1086210755,1086210755,242,40.74199191595817,0.24,0.38,0.38
23,513,w1086210756,1086210756,55,9.25954361726322,0.0499999999999999,0.57,0.38
24,514,w1086210757,1086210757,22,3.703817446905288,0.39,0.25,0.36
25,515,w1086210758,1086210758,257,43.26732199339359,0.3,0.14,0.56
26,516,w1086210759,1086210759,1167,196.470680024476,0.35,0.46,0.19
27,421,w541440130,541440130,326,54.88384034959653,0.53,0.03,0.44
28,424,w541771258,541771258,167,28.115341528781048,0.74,0.07,0.19
29,423,w541771257,541771257,151,25.42165611284993,0.35,0.08,0.5700000000000001
30,422,w541771256,541771256,197,33.16600168365189,0.42,0.46,0.12
31,425,w541775485,541775485,369,62.12311990491142,0.14,0.46,0.4
32,429,w541965080,541965080,266,44.782520039854845,0.48,0.38,0.14
33,433,w541965088,541965088,1306,219.8720720753776,0.5,0.02,0.48
34,435,w541965090,541965090,56,9.427898955758916,0.28,0.38,0.34
35,434,w541965089,541965089,211,35.522976422591626,0.15,0.42,0.43
36,430,w541965085,541965085,1196,201.3529848408511,0.42,0.51,0.07
37,432,w541965087,541965087,961,161.7894802943628,0.22,0.66,0.12
38,431,w541965086,541965086,421,70.87759750668755,0.2,0.48,0.32
39,426,w541965074,541965074,311,52.35851027216111,0.48,0.47,0.05
40,427,w541965075,541965075,123,20.70770663497047,0.47,0.45,0.08
41,428,w541965076,541965076,32,5.387370831862237,0.09,0.49,0.42
42,400,w534569504,534569504,499,84.00931390935175,0.32,0.24,0.44
43,399,w534569499,534569499,936,157.5805968319704,0.19,0.19,0.62
44,403,w534572400,534572400,1252,210.78088379661,0.39,0.46,0.15
45,402,w534572399,534572399,897,151.01473863063833,0.74,0.11,0.15
46,406,w534573307,534573307,397,66.83706938279087,0.96,0.02,0.02
47,405,w534573304,534573304,290,48.82304816375152,0.6,0.21,0.19
48,401,w534572395,534572395,396,66.66871404429517,0.73,0.1,0.17
49,407,w535349132,535349132,401,67.51049073677365,0.48,0.5,0.02
50,410,w535351158,535351158,747,125.76143785628408,0.35,0.31,0.34
51,404,w534573300,534573300,809,136.19946884301717,0.08,0.44,0.48
52,398,w534565236,534565236,459,77.27510036952395,0.39,0.4599999999999999,0.15
53,411,w535351160,535351160,800,134.68427079655592,0.17,0.17,0.66
54,397,w534565230,534565230,314,52.8635762876482,0.34,0.2,0.46
55,408,w535349142,535349142,973,163.80974435631114,0.41,0.22,0.37
56,412,w535355476,535355476,1014,170.71231323463462,0.12,0.59,0.29
57,409,w535349143,535349143,88,14.815269787621151,0.0,0.39,0.61
58,413,w535355480,535355480,835,140.57670764390522,0.15,0.42,0.43
59,436,w541965095,541965095,1196,201.3529848408511,0.01,0.53,0.46
