Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
0,w158853557,158853557,way,157.36,15.215744684726603,0.75,0.04,0.21
1,w158853558,158853558,way,83.38,8.062333450765786,0.81,0.12,0.07
2,w158853559,158853559,way,113.18,10.943810265743243,0.04,0.78,0.18
3,w211715359,211715359,way,10997.95,1063.4341589691724,0.5599999999999999,0.29,0.15
4,w246792829,246792829,way,1277.89,123.5641076205216,0.53,0.32,0.15
5,w276462198,276462198,way,1597.79,154.49647114774604,0.31,0.23,0.46
6,w276462425,276462425,way,2101.84,203.23500767759128,0.37,0.36,0.27
7,w276612247,276612247,way,752.39,72.75148794700971,0.46,0.45,0.09
8,w276614920,276614920,way,544.84,52.682678787661686,0.2799999999999999,0.2299999999999999,0.49
9,w276734031,276734031,way,1163.4,112.49362840754276,0.71,0.23,0.06
10,w298690124,298690124,way,210.18,20.32311399234772,0.06,0.6,0.34
11,w298890320,298890320,way,1126.56,108.93142686849008,0.41,0.31,0.28
12,w298890321,298890321,way,2210.93,213.7833400851715,0.04,0.48,0.48
13,w298890322,298890322,way,1670.16,161.49420527861582,0.59,0.29,0.12
14,w298890323,298890323,way,146.76,14.19078984449972,0.42,0.1,0.48
15,w298890324,298890324,way,684.2,66.15793412105963,0.56,0.32,0.12
16,w298890325,298890325,way,571.62,55.27214016702733,0.48,0.47,0.05
17,w298890326,298890326,way,543.36,52.539571885441326,0.05,0.36,0.59
18,w298890327,298890327,way,194.17,18.775045408193723,0.59,0.0,0.41
19,w298890328,298890328,way,120.42,11.643873760388772,0.48,0.0499999999999999,0.47
20,w298890329,298890329,way,367.36,35.52145378356104,0.08,0.09,0.83
21,w298890330,298890330,way,215.02,20.79111224014943,0.29,0.13,0.58
22,w298890331,298890331,way,236.05,22.82458396561842,0.4,0.25,0.35
23,w298890332,298890332,way,117.8,11.3905358659176,0.1,0.15,0.75
24,w298890333,298890333,way,95.37,9.221692746456382,0.24,0.52,0.24
25,w306190105,306190105,way,423.46,40.945978928535375,0.09,0.47,0.44
26,w306190106,306190106,way,260.2,25.159740511984378,0.52,0.43,0.05
27,w310793316,310793316,way,43.11,4.168471996432155,0.45,0.05,0.5
28,w312899217,312899217,way,473.98,45.83095237459784,0.01,0.78,0.21
29,w332759543,332759543,way,217.43,21.02414442552177,0.84,0.11,0.05
30,w332759544,332759544,way,260.81,25.218723762223853,0.25,0.19,0.56
31,w332759545,332759545,way,148.11,14.321326545849374,0.32,0.43,0.25
32,w332759546,332759546,way,242.26,23.425052791826808,0.25,0.53,0.22
33,w332759547,332759547,way,216.26,20.9110126176854,0.07,0.54,0.39
34,w332759548,332759548,way,281.55,27.224154270365883,0.34,0.38,0.28
35,w332759549,332759549,way,258.69,25.01373279417848,0.43,0.08,0.49
36,w332759550,332759550,way,270.89,26.193397798967904,0.47,0.3399999999999999,0.19
37,w332759551,332759551,way,356.7,34.49069731216306,0.06,0.5,0.44
38,w332759552,332759552,way,206.85,20.00112346235192,0.52,0.44,0.04
39,w332759553,332759553,way,156.4,15.122918585989074,0.41,0.27,0.32
40,w332759555,332759555,way,226.89,21.93886827349783,0.63,0.1999999999999999,0.17
41,w332759556,332759556,way,280.19,27.092650630487714,0.48,0.32,0.2
42,w332759557,332759557,way,189.49,18.32251817684828,0.43,0.0,0.57
43,w332759558,332759558,way,208.28,20.13939567192969,0.39,0.6,0.01
44,w332759559,332759559,way,149.32,14.438326107799798,0.28,0.4,0.32
45,w370145123,370145123,way,226.76,21.926298072627123,0.32,0.45,0.23
46,w404706714,404706714,way,442.89,42.82474048944182,0.16,0.62,0.22
47,w404706716,404706716,way,442.93,42.82860824355589,0.39,0.28,0.33
48,w404706718,404706718,way,254.1,24.569908009589664,0.11,0.43,0.46
49,w404706719,404706719,way,239.02,23.11176470858765,0.46,0.1,0.44
50,w451463764,451463764,way,148.36,14.34550000906227,0.28,0.32,0.4
51,w451463765,451463765,way,419.51,40.56403820977159,0.26,0.22,0.52
52,w451463766,451463766,way,202.3,19.56116643187717,0.23,0.62,0.15
53,w451463767,451463767,way,85.79,8.295365636138126,0.2,0.51,0.29
54,w451463768,451463768,way,92.89,8.981891991384432,0.44,0.24,0.32
55,w451463769,451463769,way,404.63,39.12523367933989,0.67,0.25,0.08
56,w457081001,457081001,way,5026.58,486.0393868667581,0.13,0.44,0.43
57,w457081002,457081002,way,288.34,27.88070553122819,0.14,0.43,0.43
