full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff
r6994474,6994474,relation,224.03462625,0.3,0.3,0.4
r7029524,7029524,relation,149.3648475,0.26,0.3,0.44
r7171941,7171941,relation,310.86573375,0.36,0.43,0.21
r8699736,8699736,relation,31.37751375,0.69,0.17,0.14
w158852142,158852142,way,45.1911225,0.41,0.27,0.32
w211715359,211715359,way,1158.9089812500001,0.55,0.33,0.12
w211715360,211715360,way,458.0988449999999,0.45999999999999996,0.42,0.12
w211715361,211715361,way,703.2306,0.48,0.16999999999999998,0.35000000000000003
w222798664,222798664,way,175.71491999999998,0.15,0.26,0.59
w246792829,246792829,way,134.65765875,0.36,0.48,0.16
w275970161,275970161,way,40.15314375,0.15,0.3,0.55
w276462198,276462198,way,168.36712125,0.51,0.39,0.1
w276462425,276462425,way,221.48139,0.1,0.62,0.28
w276462596,276462596,way,728.96001375,0.29,0.35,0.36
w276465517,276465517,way,448.3347975,0.22999999999999998,0.35,0.42
w276612247,276612247,way,79.28309625,0.55,0.27999999999999997,0.17
w276614920,276614920,way,57.412515,0.39999999999999997,0.3,0.3
w306190105,306190105,way,44.622097499999995,0.5,0.37,0.13
w310793317,310793317,way,300.25236375,0.12,0.32,0.56
w334608597,334608597,way,130.92633,0.01,0.68,0.31
w360350164,360350164,way,450.8385075,0.38,0.46,0.16
w451463764,451463764,way,15.633435,0.25,0.18,0.57
w457081001,457081001,way,529.6758675,0.35000000000000003,0.47,0.18
w457081002,457081002,way,30.383827499999995,0.36,0.47,0.17
w469681591,469681591,way,89.22628125,0.49,0.45,0.06
w470854913,470854913,way,1307.8533825,0.25,0.36,0.39
w470857032,470857032,way,443.6856525,0.37,0.26,0.37
w470857041,470857041,way,380.30364375,0.13,0.45,0.42
w470857149,470857149,way,337.29799875,0.19,0.57,0.24
w470857717,470857717,way,180.57059999999998,0.34,0.42,0.24
w470861033,470861033,way,153.0487575,0.15000000000000002,0.48,0.37
w470873257,470873257,way,17.72302125,0.38,0.54,0.08
w471794722,471794722,way,156.8001075,0.13,0.76,0.11
w471798098,471798098,way,237.32662875,0.43,0.13,0.44
w471806511,471806511,way,223.13050874999996,0.39,0.32,0.29
w471807964,471807964,way,63.330375,0.16999999999999998,0.060000000000000005,0.77
w471808314,471808314,way,32.78427,0.07,0.72,0.21000000000000002
w471814282,471814282,way,66.67287,0.16,0.38,0.46
w471826095,471826095,way,37.73584125,0.43,0.56,0.01
w471832770,471832770,way,66.08909249999999,0.39,0.03,0.58
w471833472,471833472,way,58.68333749999999,0.08,0.5,0.42
w471834676,471834676,way,97.5667125,0.21,0.57,0.22
w471847569,471847569,way,25.33215,0.18,0.48,0.34
w471868674,471868674,way,66.963705,0.38,0.34,0.28
w471870777,471870777,way,81.269415,0.21,0.25,0.54
w471892367,471892367,way,94.5445575,0.03,0.03,0.94
w471937110,471937110,way,227.470905,0.49,0.24,0.27
w471949662,471949662,way,97.03773,0.33,0.11,0.56
w471950486,471950486,way,335.501355,0.28,0.31,0.41
w471960417,471960417,way,270.7947825,0.28,0.27,0.45
w471961055,471961055,way,103.06412625,0.18,0.6,0.22
w471961056,471961056,way,29.079284999999995,0.41,0.31,0.28
w471963602,471963602,way,763.8149025,0.39999999999999997,0.18,0.42
w471964854,471964854,way,93.46024874999999,0.54,0.13,0.33
w471966641,471966641,way,631.27949625,0.32,0.38,0.3
w471968311,471968311,way,42.85074375,0.02,0.51,0.47
w472275200,472275200,way,187.63283249999998,0.56,0.0,0.44
w472275205,472275205,way,13.98220875,0.16,0.55,0.29
w472275544,472275544,way,2943.4335524999997,0.39999999999999997,0.13999999999999999,0.46
w472369085,472369085,way,120.45837750000001,0.28,0.4,0.32
w472392544,472392544,way,114.7934175,0.38,0.26,0.36
w472398031,472398031,way,24.739942499999998,0.33,0.51,0.16
w472411995,472411995,way,5.6986799999999995,0.27999999999999997,0.35,0.37
