,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
4,w158852142,158852142,way,45.1911225,0.41,0.27,0.32,1.0,1.0
34,w471806511,471806511,way,223.13050875,0.39,0.32,0.29,1.0,1.0
110,w504627428,504627428,way,42.533565,0.18,0.12,0.7,1.0,1.0
111,w506258669,506258669,way,166.57153125,0.15,0.67,0.18,1.0,1.0
115,w506294760,506294760,way,32.702077499999994,0.42,0.54,0.04,1.0,1.0
116,w506297655,506297655,way,15.773583749999998,0.04,0.51,0.45,1.0,1.0
117,w506297776,506297776,way,9.673425,0.48,0.18,0.34,1.0,1.0
124,w533817237,533817237,way,179.86142625,0.34,0.14,0.52,1.0,1.0
131,w533819772,533819772,way,41.9034225,0.22,0.39,0.39,1.0,1.0
133,w533819776,533819776,way,69.1365375,0.29,0.65,0.06,1.0,1.0
134,w533821089,533821089,way,55.8382125,0.46,0.12,0.42,1.0,1.0
137,w534569497,534569497,way,15.743025,0.46,0.2,0.34,1.0,1.0
139,w534573301,534573301,way,13.6249875,0.38,0.33,0.29,1.0,1.0
142,w535359998,535359998,way,535.3460962500001,0.47,0.41,0.12,1.0,1.0
178,w592485510,592485510,way,77.97749999999999,0.25,0.24,0.51,1.0,1.0
182,w592487874,592487874,way,110.108445,0.41,0.25,0.34,1.0,1.0
199,w622149918,622149918,way,81.24517875,0.12,0.5,0.38,1.0,1.0
205,w630331862,630331862,way,43.654755,0.3,0.16,0.54,1.0,1.0
218,w643944386,643944386,way,220.5182625,0.81,0.06,0.13,1.0,1.0
232,w881761424,881761424,way,4.19076375,0.02,0.42,0.56,1.0,1.0
233,w881761425,881761425,way,6.519551249999999,0.07,0.47,0.46,1.0,1.0
255,w1083279101,1083279101,way,9.122313749999998,0.35,0.5,0.15,1.0,1.0
