,full_id,osm_id,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
3,w539744156,539744156,46.46607342481179,0.14,0.39,0.47,1.0,1.0
5,w539744154,539744154,50.001535533221386,0.24,0.39,0.37,1.0,1.0
15,w1086210746,1086210746,29.125473559755218,0.17,0.4,0.43,1.0,1.0
18,w1086210749,1086210749,442.7745402436776,0.4,0.32,0.28,1.0,1.0
28,w541771258,541771258,28.115341528781048,0.74,0.07,0.19,1.0,1.0
42,w534569504,534569504,84.00931390935175,0.32,0.24,0.44,1.0,1.0
46,w534573307,534573307,66.83706938279087,0.96,0.02,0.02,1.0,1.0
47,w534573304,534573304,48.82304816375152,0.6,0.21,0.19,1.0,1.0
51,w534573300,534573300,136.19946884301717,0.08,0.44,0.48,1.0,1.0
54,w534565230,534565230,52.8635762876482,0.34,0.2,0.46,1.0,1.0
57,w535349143,535349143,14.815269787621151,0.0,0.39,0.61,1.0,1.0
