,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
14,w298890323,298890323,way,14.19078984449972,0.42,0.1,0.48,1.0,1.0
15,w298890324,298890324,way,66.15793412105963,0.56,0.32,0.12,1.0,1.0
42,w332759557,332759557,way,18.322518176848277,0.43,0.0,0.57,1.0,1.0
49,w404706719,404706719,way,23.11176470858765,0.46,0.1,0.44,1.0,1.0
71,w470871809,470871809,way,13.520701444238188,0.22,0.41,0.37,1.0,1.0
77,w470871815,470871815,way,17.960883167183315,0.36,0.29,0.35,1.0,1.0
82,w470873227,470873227,way,16.66131778485791,0.51,0.35,0.14,1.0,1.0
83,w470873229,470873229,way,20.83462447393265,0.57,0.42,0.01,1.0,1.0
87,w470873237,470873237,way,20.622864936187657,0.39,0.39,0.22,1.0,1.0
89,w470873241,470873241,way,20.222552385382063,0.08,0.26,0.66,1.0,1.0
97,w470873259,470873259,way,28.64845472286984,0.61,0.05,0.34,1.0,1.0
106,w470873573,470873573,way,16.59749984197586,0.45,0.41,0.14,1.0,1.0
110,w471808314,471808314,way,30.083391499187474,0.16,0.38,0.46,1.0,1.0
114,w471819853,471819853,way,27.836226358916463,0.45,0.35,0.2,1.0,1.0
117,w471832841,471832841,way,21.90599236352829,0.52,0.14,0.34,1.0,1.0
119,w471833472,471833472,way,53.84880665305189,0.48,0.48,0.04,1.0,1.0
125,w471836858,471836858,way,54.330342040252816,0.5,0.31,0.19,1.0,1.0
137,w471846974,471846974,way,81.38141431401435,0.51,0.48,0.01,1.0,1.0
138,w471846975,471846975,way,25.999043154736203,0.28,0.44,0.28,1.0,1.0
139,w471846976,471846976,way,27.287005274719416,0.19,0.25,0.56,1.0,1.0
142,w471847153,471847153,way,23.78668780149177,0.32,0.29,0.39,1.0,1.0
144,w471850275,471850275,way,45.42870594673521,0.53,0.39,0.08,1.0,1.0
149,w471851496,471851496,way,24.60665167367327,0.47,0.45,0.08,1.0,1.0
157,w471857523,471857523,way,11.903980224559556,0.09,0.73,0.18,1.0,1.0
166,w471864955,471864955,way,29.92674745756789,0.4,0.1,0.5,1.0,1.0
178,w471864967,471864967,way,15.81427963387796,0.34,0.05,0.61,1.0,1.0
179,w471864968,471864968,way,37.389579020653805,0.61,0.23,0.16,1.0,1.0
181,w471868674,471868674,way,61.44700961013003,0.31,0.37,0.32,1.0,1.0
187,w471948183,471948183,way,13.544874907451083,0.04,0.44,0.52,1.0,1.0
195,w471955679,471955679,way,9.325155169007584,0.03,0.67,0.3,1.0,1.0
201,w471973969,471973969,way,27.59642560384451,0.44,0.14,0.42,1.0,1.0
208,w471973976,471973976,way,20.023363048507782,0.51,0.02,0.47,1.0,1.0
212,w471974878,471974878,way,13.255760287424822,0.35,0.34,0.31,1.0,1.0
213,w471974879,471974879,way,9.55431960026586,0.37,0.27,0.36,1.0,1.0
218,w471974887,471974887,way,25.594862849816543,0.12,0.42,0.46,1.0,1.0
221,w471978554,471978554,way,21.427357791912907,0.01,0.47,0.52,1.0,1.0
224,w471978558,471978558,way,46.95550188326185,0.41,0.35,0.24,1.0,1.0
225,w471978559,471978559,way,49.768326062714685,0.48,0.47,0.05,1.0,1.0
227,w471979883,471979883,way,35.930468781123274,0.53,0.39,0.08,1.0,1.0
231,w472275200,472275200,way,172.1750082646027,0.12,0.27,0.61,1.0,1.0
235,w472394912,472394912,way,98.79597721258617,0.23,0.64,0.13,1.0,1.0
240,w472398035,472398035,way,22.906773740542278,0.33,0.0,0.67,1.0,1.0
241,w472398036,472398036,way,15.32790955403445,0.34,0.58,0.08,1.0,1.0
252,w472398047,472398047,way,8.28472931232445,0.22,0.37,0.41,1.0,1.0
256,w472398320,472398320,way,20.831723658347094,0.31,0.49,0.2,1.0,1.0
257,w472398321,472398321,way,30.007003355434712,0.32,0.33,0.35,1.0,1.0
263,w472398328,472398328,way,13.476222271926453,0.08,0.47,0.45,1.0,1.0
264,w472398329,472398329,way,18.66288053888588,0.37,0.29,0.34,1.0,1.0
266,w472410803,472410803,way,50.245993695801545,0.15,0.21,0.64,1.0,1.0
268,w472420795,472420795,way,33.0721984908302,0.63,0.15,0.22,1.0,1.0
270,w472420798,472420798,way,22.875831707629764,0.47,0.42,0.11,1.0,1.0
278,w472421177,472421177,way,15.096811245719143,0.3,0.35,0.35,1.0,1.0
281,w472425844,472425844,way,17.078068290648275,0.4,0.27,0.33,1.0,1.0
282,w472425845,472425845,way,18.90171435542931,0.07,0.63,0.3,1.0,1.0
283,w472425846,472425846,way,5.221468053985998,0.71,0.07,0.22,1.0,1.0
284,w472427812,472427812,way,289.49462686796846,0.28,0.18,0.54,1.0,1.0
285,w472599969,472599969,way,27.790780248076214,0.35,0.28,0.37,1.0,1.0
286,w473438841,473438841,way,41.04073890432994,0.49,0.49,0.02,1.0,1.0
291,w473446203,473446203,way,24.17249627436962,0.44,0.29,0.27,1.0,1.0
296,w473446214,473446214,way,61.64039731583322,0.06,0.52,0.42,1.0,1.0
297,w473446967,473446967,way,14.337764500834142,0.44,0.13,0.43,1.0,1.0
300,w473446970,473446970,way,23.104029200359523,0.18,0.5,0.32,1.0,1.0
305,w473446975,473446975,way,31.47674991877892,0.49,0.43,0.08,1.0,1.0
308,w473446978,473446978,way,61.17529988361705,0.44,0.37,0.19,1.0,1.0
309,w473446979,473446979,way,48.10712567072432,0.24,0.39,0.37,1.0,1.0
312,w473446982,473446982,way,38.489955066104926,0.3,0.3,0.4,1.0,1.0
314,w473450644,473450644,way,59.8061149272385,0.35,0.29,0.36,1.0,1.0
316,w473450646,473450646,way,78.10349270234536,0.54,0.28,0.18,1.0,1.0
325,w473452473,473452473,way,10.139317410017997,0.4,0.54,0.06,1.0,1.0
327,w473452475,473452475,way,47.65363150085035,0.23,0.3,0.47,1.0,1.0
329,w473452477,473452477,way,56.06116200629632,0.2,0.6,0.2,1.0,1.0
337,w473452487,473452487,way,12.70750614175629,0.53,0.35,0.12,1.0,1.0
341,w473454169,473454169,way,94.12566411985424,0.54,0.1999999999999999,0.26,1.0,1.0
343,w473457215,473457215,way,26.08510068377412,0.08,0.39,0.53,1.0,1.0
344,w474613056,474613056,way,92.30878662477282,0.29,0.4,0.31,1.0,1.0
347,w474613994,474613994,way,41.73403382927586,0.19,0.26,0.55,1.0,1.0
351,w475952844,475952844,way,41.82589298948487,0.41,0.24,0.35,1.0,1.0
355,w475952849,475952849,way,43.07324369127041,0.07,0.65,0.28,1.0,1.0
360,w475954104,475954104,way,85.0093676730061,0.14,0.49,0.37,1.0,1.0
367,w475954113,475954113,way,43.838092067326514,0.06,0.19,0.75,1.0,1.0
374,w475955283,475955283,way,21.911793994699387,0.17,0.18,0.65,1.0,1.0
386,w475958564,475958564,way,17.12931603265962,0.53,0.37,0.1,1.0,1.0
387,w475958566,475958566,way,20.610294735316952,0.73,0.11,0.16,1.0,1.0
388,w475958567,475958567,way,10.9167359869448,0.25,0.43,0.32,1.0,1.0
390,w475958784,475958784,way,62.38397304426196,0.34,0.23,0.43,1.0,1.0
392,w475958786,475958786,way,95.50548540004648,0.07,0.59,0.34,1.0,1.0
394,w475959192,475959192,way,49.92497010433426,0.41,0.25,0.34,1.0,1.0
396,w475959196,475959196,way,35.41992523806687,0.35,0.34,0.31,1.0,1.0
397,w475959199,475959199,way,14.189822905971203,0.15,0.22,0.63,1.0,1.0
399,w475959203,475959203,way,24.18700035229736,0.02,0.63,0.35,1.0,1.0
401,w475959207,475959207,way,19.626918251816253,0.5,0.27,0.23,1.0,1.0
402,w475959784,475959784,way,38.06836986767198,0.12,0.44,0.44,1.0,1.0
408,w475959795,475959795,way,15.951584904927222,0.19,0.42,0.39,1.0,1.0
413,w475960228,475960228,way,13.48395778015458,0.39,0.27,0.34,1.0,1.0
414,w475960229,475960229,way,21.28231701263552,0.03,0.34,0.63,1.0,1.0
416,w475960231,475960231,way,19.088333491432884,0.89,0.01,0.0999999999999999,1.0,1.0
418,w475962567,475962567,way,10.87612456874713,0.3399999999999999,0.3999999999999999,0.26,1.0,1.0
421,w475962570,475962570,way,9.380270665132992,0.39,0.11,0.5,1.0,1.0
425,w476740810,476740810,way,21.403184328700007,0.21,0.51,0.28,1.0,1.0
429,w476740814,476740814,way,14.894721093259315,0.43,0.16,0.41,1.0,1.0
432,w476740817,476740817,way,30.27871308194769,0.11,0.52,0.37,1.0,1.0
436,w476741257,476741257,way,16.304517467835534,0.34,0.38,0.28,1.0,1.0
