,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
0,r6994474,6994474,relation,224.03462625,0.3,0.3,0.4,1.0,0.0
1,r7029524,7029524,relation,149.3648475,0.26,0.3,0.44,1.0,-0.0
2,r7171941,7171941,relation,310.86573375,0.36,0.43,0.21,1.0,0.0
3,r8699736,8699736,relation,31.37751375,0.69,0.17,0.14,1.0,-0.0
4,w158852142,158852142,way,45.1911225,0.41,0.27,0.32,1.0,-0.0
5,w211715359,211715359,way,1158.90898125,0.55,0.33,0.12,1.0,0.0
6,w211715360,211715360,way,458.0988449999999,0.4599999999999999,0.42,0.12,1.0,0.0
7,w211715361,211715361,way,703.2306,0.48,0.1699999999999999,0.35,1.0,0.0
8,w222798664,222798664,way,175.71491999999998,0.15,0.26,0.59,1.0,-0.0
9,w246792829,246792829,way,134.65765875,0.36,0.48,0.16,1.0,-0.0
10,w275970161,275970161,way,40.15314375,0.15,0.3,0.55,1.0,-0.0
11,w276462198,276462198,way,168.36712125,0.51,0.39,0.1,1.0,-0.0
12,w276462425,276462425,way,221.48139,0.1,0.62,0.28,1.0,0.0
13,w276462596,276462596,way,728.96001375,0.29,0.35,0.36,1.0,0.0
14,w276465517,276465517,way,448.3347975,0.2299999999999999,0.35,0.42,1.0,0.0
15,w276612247,276612247,way,79.28309625,0.55,0.2799999999999999,0.17,1.0,-0.0
16,w276614920,276614920,way,57.412515,0.3999999999999999,0.3,0.3,1.0,-0.0
17,w306190105,306190105,way,44.6220975,0.5,0.37,0.13,1.0,-0.0
18,w310793317,310793317,way,300.25236375,0.12,0.32,0.56,1.0,0.0
19,w334608597,334608597,way,130.92633,0.01,0.68,0.31,1.0,-0.0
20,w360350164,360350164,way,450.8385075,0.38,0.46,0.16,1.0,0.0
21,w451463764,451463764,way,15.633435,0.25,0.18,0.57,1.0,-0.0
22,w457081001,457081001,way,529.6758675,0.35,0.47,0.18,1.0,0.0
23,w457081002,457081002,way,30.383827499999995,0.36,0.47,0.17,1.0,-0.0
24,w469681591,469681591,way,89.22628125,0.49,0.45,0.06,1.0,-0.0
25,w470854913,470854913,way,1307.8533825,0.25,0.36,0.39,1.0,0.0
26,w470857032,470857032,way,443.6856525,0.37,0.26,0.37,1.0,0.0
27,w470857041,470857041,way,380.30364375,0.13,0.45,0.42,1.0,0.0
28,w470857149,470857149,way,337.29799875,0.19,0.57,0.24,1.0,0.0
29,w470857717,470857717,way,180.5706,0.34,0.42,0.24,1.0,0.0
30,w470861033,470861033,way,153.0487575,0.15,0.48,0.37,1.0,-0.0
31,w470873257,470873257,way,17.72302125,0.38,0.54,0.08,1.0,-0.0
32,w471794722,471794722,way,156.8001075,0.13,0.76,0.11,1.0,-0.0
33,w471798098,471798098,way,237.32662875,0.43,0.13,0.44,1.0,0.0
34,w471806511,471806511,way,223.13050875,0.39,0.32,0.29,1.0,0.0
35,w471807964,471807964,way,63.330375,0.1699999999999999,0.06,0.77,1.0,-0.0
36,w471808314,471808314,way,32.78427,0.07,0.72,0.21,1.0,-0.0
37,w471814282,471814282,way,66.67287,0.16,0.38,0.46,1.0,-0.0
38,w471826095,471826095,way,37.73584125,0.43,0.56,0.01,1.0,-0.0
39,w471832770,471832770,way,66.08909249999999,0.39,0.03,0.58,1.0,-0.0
40,w471833472,471833472,way,58.68333749999999,0.08,0.5,0.42,1.0,-0.0
41,w471834676,471834676,way,97.5667125,0.21,0.57,0.22,1.0,-0.0
