,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
0,w158853558,158853558,way,8.062333450765786,0.81,0.12,0.07,0.0,0.0
1,w158853559,158853559,way,10.943810265743243,0.04,0.78,0.18,1.0,0.0
2,w211715359,211715359,way,1063.4341589691724,0.5599999999999999,0.29,0.15,0.0,1.0
3,w246792829,246792829,way,123.5641076205216,0.53,0.32,0.15,0.0,1.0
4,w276462425,276462425,way,203.23500767759128,0.37,0.36,0.27,0.0,1.0
5,w276734031,276734031,way,112.49362840754276,0.71,0.23,0.06,0.0,1.0
6,w298890320,298890320,way,108.93142686849008,0.41,0.31,0.28,0.0,1.0
7,w298890321,298890321,way,213.7833400851715,0.04,0.48,0.48,1.0,1.0
8,w298890322,298890322,way,161.49420527861582,0.59,0.29,0.12,0.0,1.0
9,w298890325,298890325,way,55.27214016702733,0.48,0.47,0.05,0.0,1.0
10,w298890327,298890327,way,18.775045408193723,0.59,0.0,0.41,0.0,0.0
11,w298890328,298890328,way,11.643873760388772,0.48,0.0499999999999999,0.47,0.0,0.0
12,w298890329,298890329,way,35.52145378356104,0.08,0.09,0.83,1.0,1.0
13,w298890330,298890330,way,20.79111224014943,0.29,0.13,0.58,0.0,0.0
14,w298890331,298890331,way,22.82458396561842,0.4,0.25,0.35,0.0,0.0
15,w298890332,298890332,way,11.3905358659176,0.1,0.15,0.75,1.0,0.0
16,w306190106,306190106,way,25.159740511984378,0.52,0.43,0.05,0.0,1.0
17,w310793316,310793316,way,4.168471996432155,0.45,0.05,0.5,0.0,0.0
18,w332759543,332759543,way,21.02414442552177,0.84,0.11,0.05,0.0,0.0
19,w332759550,332759550,way,26.193397798967904,0.47,0.3399999999999999,0.19,0.0,1.0
20,w332759553,332759553,way,15.122918585989074,0.41,0.27,0.32,0.0,0.0
21,w332759555,332759555,way,21.93886827349783,0.63,0.1999999999999999,0.17,0.0,1.0
22,w332759556,332759556,way,27.092650630487714,0.48,0.32,0.2,0.0,1.0
23,w370145123,370145123,way,21.926298072627123,0.32,0.45,0.23,0.0,1.0
24,w404706716,404706716,way,42.82860824355589,0.39,0.28,0.33,0.0,1.0
25,w451463764,451463764,way,14.34550000906227,0.28,0.32,0.4,0.0,0.0
26,w451463768,451463768,way,8.981891991384432,0.44,0.24,0.32,0.0,0.0
27,w451463769,451463769,way,39.12523367933989,0.67,0.25,0.08,0.0,1.0
28,w457081001,457081001,way,486.0393868667581,0.13,0.44,0.43,1.0,1.0
29,w457081003,457081003,way,216.1291329553512,0.15,0.33,0.52,1.0,1.0
30,w457081006,457081006,way,20.868467322430703,0.17,0.34,0.49,1.0,0.0
31,w469487122,469487122,way,23.453094009153773,0.35,0.31,0.34,0.0,1.0
32,w469681591,469681591,way,81.87551990208598,0.45,0.49,0.06,0.0,1.0
33,w470871311,470871311,way,13.91134460975862,0.5,0.28,0.22,0.0,0.0
34,w470871312,470871312,way,13.41723902168698,0.21,0.17,0.62,1.0,0.0
35,w470871313,470871313,way,21.32582924641873,0.62,0.11,0.27,0.0,0.0
36,w470871807,470871807,way,19.31363016857709,0.24,0.41,0.35,0.0,0.0
37,w470871808,470871808,way,34.096186392528566,0.29,0.35,0.36,0.0,1.0
38,w470871809,470871809,way,13.520701444238188,0.22,0.41,0.37,0.0,0.0
39,w470871811,470871811,way,14.93146475734292,0.22,0.2,0.58,1.0,0.0
40,w470871812,470871812,way,30.204258815251965,0.62,0.32,0.06,0.0,1.0
41,w470871815,470871815,way,17.960883167183315,0.36,0.29,0.35,0.0,0.0
42,w470872321,470872321,way,19.62595131328774,0.42,0.28,0.3,0.0,0.0
43,w470873221,470873221,way,51.65579007037777,0.53,0.27,0.2,0.0,1.0
44,w470873227,470873227,way,16.66131778485791,0.51,0.35,0.14,0.0,0.0
45,w470873229,470873229,way,20.83462447393265,0.57,0.42,0.01,0.0,0.0
46,w470873231,470873231,way,15.129687155688686,0.63,0.1,0.27,0.0,0.0
47,w470873233,470873233,way,13.500395735139351,0.31,0.32,0.37,0.0,0.0
48,w470873235,470873235,way,61.608488344392185,0.25,0.32,0.43,0.0,1.0
49,w470873239,470873239,way,20.550344546548963,0.1999999999999999,0.51,0.29,0.0,0.0
50,w470873244,470873244,way,41.681819148736,0.57,0.03,0.4,0.0,1.0
51,w470873246,470873246,way,30.11433353209998,0.46,0.11,0.43,0.0,1.0
52,w470873250,470873250,way,34.001426416734,0.63,0.29,0.08,0.0,1.0
53,w470873255,470873255,way,23.925926949598058,0.6,0.12,0.28,0.0,1.0
54,w470873257,470873257,way,16.26293911110935,0.16,0.51,0.33,1.0,0.0
55,w470873379,470873379,way,21.124706032487424,0.37,0.37,0.26,0.0,0.0
56,w470873571,470873571,way,16.61877248960321,0.25,0.38,0.37,0.0,0.0
57,w470873572,470873572,way,11.96489735185606,0.48,0.43,0.09,0.0,0.0
58,w470873573,470873573,way,16.59749984197586,0.45,0.41,0.14,0.0,0.0
59,w470873574,470873574,way,11.8275920808068,0.49,0.16,0.35,0.0,0.0
60,w471808314,471808314,way,30.083391499187474,0.16,0.38,0.46,1.0,1.0
61,w471814282,471814282,way,61.18013457625964,0.29,0.1,0.61,0.0,1.0
62,w471816936,471816936,way,17.979254999225116,0.07,0.51,0.42,1.0,0.0
63,w471819853,471819853,way,27.836226358916463,0.45,0.35,0.2,0.0,1.0
64,w471832770,471832770,way,60.64445063146181,0.66,0.16,0.18,0.0,1.0
65,w471833372,471833372,way,93.15872559133832,0.59,0.31,0.0999999999999999,0.0,1.0
66,w471833472,471833472,way,53.84880665305189,0.48,0.48,0.04,0.0,1.0
67,w471837297,471837297,way,67.06975715345014,0.26,0.52,0.22,0.0,1.0
68,w471840202,471840202,way,56.5455982090828,0.03,0.76,0.21,1.0,1.0
69,w471842406,471842406,way,64.25306521988324,0.27,0.39,0.34,0.0,1.0
70,w471842881,471842881,way,55.59316375849462,0.2799999999999999,0.37,0.35,0.0,1.0
71,w471846970,471846970,way,81.32726575641746,0.54,0.01,0.45,0.0,1.0
72,w471846972,471846972,way,25.735068936451352,0.52,0.22,0.26,0.0,1.0
73,w471846974,471846974,way,81.38141431401435,0.51,0.48,0.01,0.0,1.0
74,w471846975,471846975,way,25.999043154736203,0.28,0.44,0.28,0.0,1.0
75,w471846976,471846976,way,27.287005274719416,0.19,0.25,0.56,1.0,1.0
76,w471847150,471847150,way,24.64726309187094,0.51,0.16,0.33,0.0,1.0
77,w471847152,471847152,way,23.478234410895187,0.16,0.27,0.5700000000000001,1.0,0.0
78,w471847153,471847153,way,23.78668780149177,0.32,0.29,0.39,0.0,1.0
79,w471850276,471850276,way,25.49816899696496,0.14,0.38,0.48,1.0,1.0
80,w471850277,471850277,way,24.21697544668136,0.46,0.14,0.4,0.0,0.0
81,w471850313,471850313,way,45.721688320875536,0.33,0.5,0.17,0.0,1.0
82,w471851495,471851495,way,24.412297029441568,0.29,0.24,0.47,0.0,1.0
83,w471853909,471853909,way,31.751360460877443,0.34,0.34,0.32,0.0,1.0
84,w471853912,471853912,way,43.52383704555884,0.41,0.4,0.19,0.0,1.0
85,w471853918,471853918,way,79.30926504740472,0.23,0.53,0.24,0.0,1.0
86,w471857523,471857523,way,11.903980224559556,0.09,0.73,0.18,1.0,0.0
87,w471864947,471864947,way,27.5229382756773,0.37,0.3,0.33,0.0,1.0
88,w471864948,471864948,way,15.266025488209433,0.0,0.8,0.2,1.0,0.0
89,w471864949,471864949,way,35.17432285182382,0.38,0.33,0.29,0.0,1.0
90,w471864954,471864954,way,14.539854653293972,0.54,0.38,0.08,0.0,0.0
91,w471864955,471864955,way,29.92674745756789,0.4,0.1,0.5,0.0,1.0
92,w471864958,471864958,way,21.26491211912223,0.55,0.27,0.18,0.0,0.0
93,w471864959,471864959,way,40.46637741839148,0.46,0.31,0.23,0.0,1.0
94,w471864961,471864961,way,11.848864728434153,0.43,0.23,0.34,0.0,0.0
95,w471864966,471864966,way,45.36005331121058,0.65,0.24,0.11,0.0,1.0
96,w471864967,471864967,way,15.81427963387796,0.34,0.05,0.61,0.0,0.0
97,w471864969,471864969,way,26.17019127428352,0.7,0.23,0.07,0.0,1.0
98,w471868674,471868674,way,61.44700961013003,0.31,0.37,0.32,0.0,1.0
99,w471871956,471871956,way,575.4628289224394,0.64,0.0,0.36,0.0,1.0
100,w471948184,471948184,way,10.66726584658769,0.16,0.38,0.46,1.0,0.0
101,w471948185,471948185,way,23.677423747769467,0.37,0.38,0.25,0.0,1.0
102,w471948186,471948186,way,57.05227399802514,0.45,0.44,0.11,0.0,1.0
103,w471948569,471948569,way,49.3380384175251,0.5,0.36,0.14,0.0,1.0
104,w471952171,471952171,way,142.33335139754422,0.09,0.28,0.63,1.0,1.0
105,w471955677,471955677,way,4.708990633872557,0.0999999999999999,0.7,0.2,1.0,0.0
106,w471955678,471955678,way,18.38826999678736,0.3,0.35,0.35,0.0,0.0
107,w471955680,471955680,way,7.426087899002307,0.71,0.09,0.2,0.0,0.0
108,w471955681,471955681,way,6.864296613934554,0.24,0.64,0.12,0.0,0.0
109,w471955683,471955683,way,4.333818484808377,0.42,0.56,0.02,0.0,0.0
110,w471973969,471973969,way,27.59642560384451,0.44,0.14,0.42,0.0,1.0
111,w471973971,471973971,way,7.515046243625773,0.16,0.62,0.22,1.0,0.0
