,full_id,osm_id,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
0,w538115135,538115135,168.6920491726863,0.4,0.26,0.34,0.0,1.0
1,w539745507,539745507,30.135605590729387,0.2799999999999999,0.37,0.35,1.0,1.0
2,w539745509,539745509,61.61805388942433,0.73,0.27,0.0,0.0,1.0
3,w539744156,539744156,46.46607342481179,0.14,0.39,0.47,1.0,1.0
4,w539744157,539744157,35.354621084095925,0.46,0.17,0.37,0.0,1.0
5,w539744154,539744154,50.001535533221386,0.24,0.39,0.37,1.0,1.0
6,w539744152,539744152,67.17378005978226,0.04,0.26,0.7,1.0,1.0
7,w881558057,881558057,1395.8341114678065,0.29,0.46,0.25,1.0,1.0
8,w881558056,881558056,111.11452340715864,0.27,0.19,0.54,1.0,1.0
9,w881558058,881558058,39.3951492079926,0.36,0.36,0.28,0.0,0.0
10,w1086210741,1086210741,85.01944594032592,0.15,0.25,0.6,1.0,1.0
11,w1086210742,1086210742,60.94463253544155,0.38,0.16,0.46,0.0,1.0
12,w1086210743,1086210743,21.886194004440338,0.45,0.49,0.06,0.0,1.0
13,w1086210744,1086210744,129.80196598018077,0.44,0.24,0.32,0.0,1.0
14,w1086210745,1086210745,158.927439539936,0.19,0.69,0.12,1.0,1.0
15,w1086210746,1086210746,29.125473559755218,0.17,0.4,0.43,1.0,1.0
16,w1086210747,1086210747,38.72172785400983,0.85,0.08,0.07,0.0,1.0
17,w1086210748,1086210748,324.2523819427084,0.42,0.33,0.25,0.0,1.0
18,w1086210749,1086210749,442.7745402436776,0.4,0.32,0.28,0.0,1.0
19,w1086210750,1086210750,126.26650387177118,0.6,0.21,0.19,0.0,1.0
20,w1086210751,1086210751,187.04278106871703,0.05,0.52,0.43,1.0,1.0
21,w1086210754,1086210754,15.993757157091014,0.47,0.52,0.01,0.0,0.0
22,w1086210755,1086210755,40.74199191595817,0.24,0.38,0.38,1.0,0.0
23,w1086210756,1086210756,9.25954361726322,0.0499999999999999,0.57,0.38,1.0,0.0
24,w1086210757,1086210757,3.703817446905288,0.39,0.25,0.36,0.0,0.0
25,w1086210758,1086210758,43.26732199339359,0.3,0.14,0.56,0.0,0.0
26,w1086210759,1086210759,196.470680024476,0.35,0.46,0.19,0.0,1.0
27,w541440130,541440130,54.88384034959653,0.53,0.03,0.44,0.0,1.0
28,w541771258,541771258,28.115341528781048,0.74,0.07,0.19,0.0,0.0
29,w541771257,541771257,25.42165611284993,0.35,0.08,0.5700000000000001,0.0,1.0
30,w541771256,541771256,33.16600168365189,0.42,0.46,0.12,0.0,1.0
31,w541775485,541775485,62.12311990491142,0.14,0.46,0.4,1.0,1.0
32,w541965080,541965080,44.782520039854845,0.48,0.38,0.14,0.0,0.0
33,w541965088,541965088,219.8720720753776,0.5,0.02,0.48,0.0,1.0
34,w541965090,541965090,9.427898955758916,0.28,0.38,0.34,1.0,0.0
35,w541965089,541965089,35.522976422591626,0.15,0.42,0.43,1.0,0.0
36,w541965085,541965085,201.3529848408511,0.42,0.51,0.07,0.0,1.0
37,w541965087,541965087,161.7894802943628,0.22,0.66,0.12,1.0,1.0
38,w541965086,541965086,70.87759750668755,0.2,0.48,0.32,1.0,1.0
39,w541965074,541965074,52.35851027216111,0.48,0.47,0.05,0.0,0.0
40,w541965075,541965075,20.70770663497047,0.47,0.45,0.08,0.0,0.0
41,w541965076,541965076,5.387370831862237,0.09,0.49,0.42,1.0,0.0
42,w534569504,534569504,84.00931390935175,0.32,0.24,0.44,0.0,1.0
43,w534569499,534569499,157.5805968319704,0.19,0.19,0.62,1.0,1.0
44,w534572400,534572400,210.78088379661,0.39,0.46,0.15,0.0,1.0
45,w534572399,534572399,151.01473863063833,0.74,0.11,0.15,0.0,1.0
46,w534573307,534573307,66.83706938279087,0.96,0.02,0.02,0.0,1.0
47,w534573304,534573304,48.82304816375152,0.6,0.21,0.19,0.0,1.0
48,w534572395,534572395,66.66871404429517,0.73,0.1,0.17,0.0,1.0
49,w535349132,535349132,67.51049073677365,0.48,0.5,0.02,0.0,1.0
50,w535351158,535351158,125.76143785628408,0.35,0.31,0.34,0.0,1.0
51,w534573300,534573300,136.19946884301717,0.08,0.44,0.48,1.0,1.0
52,w534565236,534565236,77.27510036952395,0.39,0.4599999999999999,0.15,0.0,1.0
53,w535351160,535351160,134.68427079655592,0.17,0.17,0.66,1.0,1.0
54,w534565230,534565230,52.8635762876482,0.34,0.2,0.46,0.0,0.0
55,w535349142,535349142,163.80974435631114,0.41,0.22,0.37,0.0,0.0
56,w535355476,535355476,170.71231323463462,0.12,0.59,0.29,1.0,1.0
57,w535349143,535349143,14.815269787621151,0.0,0.39,0.61,1.0,0.0
58,w535355480,535355480,140.57670764390522,0.15,0.42,0.43,1.0,1.0
59,w541965095,541965095,201.3529848408511,0.01,0.53,0.46,1.0,1.0
