Month,F1_Percentage,F2_Percentage,F3_Percentage,10am_to_4pm_Percentage
1,1631.5565905952617,592.4613898023233,370.65777711242515,2423.431093663338
2,2017.6897273512757,300.0810482448366,203.49612052093386,2465.4201403006377
3,3555.1623220739957,1564.0609778541188,890.1193462627059,5591.5772354356
4,3414.179952656789,1920.714700741868,219.1280256963263,4880.480990801547
5,3944.13071625686,1031.0915959129932,861.7215784334987,4633.354798024248
6,4486.930648594386,1154.9807386281766,1082.2323821212983,5242.469874729526
7,5249.750845565604,2018.4703907105118,524.3807673100688,6798.42601391658
8,4799.060853988871,2064.582315432817,1307.3181144129621,6873.843496910651
9,4036.1121883010974,549.3284888372299,793.8858538563494,5386.217524953407
10,2582.0042865921723,1117.2994729445086,580.826129438926,3494.3038947382197
11,1367.1441872065213,503.9713966247831,162.87819854530863,1782.1908667930409
12,1265.0755372739734,112.26743116151255,428.6847964021958,2092.404430535564
