w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.3304,156.2946,119.8122,171.8088,135.5748,249.73620000000005,149.4987,123.144,68.2881,127.66649999999998
288.07280000000003,336.74490000000003,297.5375,367.0859,291.8678,542.1668000000001,332.3155,274.16540000000003,164.1807,279.856
389.5916,447.9376,397.1504,484.298,394.6724,691.4312,441.5814,372.6764,241.1914,379.869
519.1932,582.0592,457.43279999999993,621.0319999999999,534.4788,793.5204,555.8948,496.4708,361.4428,511.068
588.8416000000001,650.1621,453.9439,687.9585,614.2293999999999,802.0702000000001,604.0124000000001,561.8754,437.2614,583.4265
584.7103999999999,639.0654000000001,389.0606,672.346,617.8915999999999,718.3298,577.1371,555.9136,452.6841,582.4685
511.5932,555.7355,277.6877,582.5437,549.0686000000001,565.4900000000001,484.7147,483.3814,406.6763,512.295
396.7808,430.9149,140.2955,451.4239,436.3718,383.4068,355.10350000000005,370.1014,317.97270000000003,399.866
17.206,16.9302,18.7006,16.7628,16.9672,16.893400000000003,17.3831,17.3844,17.8605,17.200499999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
