w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.78300000000002,119.8851,145.58100000000002,168.52560000000005,200.364,138.53130000000002,232.12410000000003,231.4167,155.5386,79.2555
356.33340000000004,272.8985,313.99010000000004,374.032,448.6138,299.4521,501.7153,501.0828,352.5384,197.0441
469.9024,370.5542,420.8816,491.0412,578.9628,403.5482,643.665,642.8182,464.8216,279.2246
577.7228,483.0444,556.9952,599.0684,666.4115999999999,540.0563999999999,755.4420000000001,752.8943999999999,562.4372000000001,377.2812
616.0264000000001,536.8822,630.0801,635.3192000000001,671.7558,615.4132,779.226,774.9947000000001,590.6386,425.8606
578.3326000000001,521.6363,625.7134000000001,593.8768,596.3672,614.6033,712.6505000000001,707.1202999999999,545.1514,415.2179
476.36340000000007,443.5901,549.2791,487.4516,460.0818,542.1209000000001,575.2449,568.999,438.888,349.2701
339.24940000000004,327.2825,430.3441,346.276,295.4858,426.6881,405.4313,398.8328,299.65840000000003,246.3881
17.4394,17.6383,16.968600000000002,17.3708,17.5548,17.0125,16.8261,16.865900000000003,17.678200000000004,18.2311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
