,w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575,w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101,w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,161.3733,267.3726,151.06470000000002,137.6484,84.18299999999999,110.2839,197.8368,130.7499,123.97830000000002,185.4303,131.3304,156.2946,119.8122,171.8088,135.5748,249.73620000000005,149.4987,123.144,68.2881,127.66649999999998,159.78300000000002,119.8851,145.58100000000002,168.52560000000005,200.364,138.53130000000002,232.12410000000003,231.4167,155.5386,79.2555
8,346.22670000000005,574.4053,330.4218,310.1913,209.6846,257.72610000000003,439.7664,292.4946,279.85220000000004,413.851,288.07280000000003,336.74490000000003,297.5375,367.0859,291.8678,542.1668000000001,332.3155,274.16540000000003,164.1807,279.856,356.33340000000004,272.8985,313.99010000000004,374.032,448.6138,299.4521,501.7153,501.0828,352.5384,197.0441
9,459.3538,730.332,439.8982,414.9436,294.0176,351.9454,568.822,394.2334,379.0118,537.9606,389.5916,447.9376,397.1504,484.298,394.6724,691.4312,441.5814,372.6764,241.1914,379.869,469.9024,370.5542,420.8816,491.0412,578.9628,403.5482,643.665,642.8182,464.8216,279.2246
10,595.2796000000001,840.136,564.9144,525.0472,386.5772,455.2268,664.07,512.0328,494.4056000000001,634.5992,519.1932,582.0592,457.43279999999993,621.0319999999999,534.4788,793.5204,555.8948,496.4708,361.4428,511.068,577.7228,483.0444,556.9952,599.0684,666.4115999999999,540.0563999999999,755.4420000000001,752.8943999999999,562.4372000000001,377.2812
11,664.0398,852.5605,624.3797,571.6311000000001,427.8336000000001,501.4534,678.64,568.8688999999999,550.3653,653.9321,588.8416000000001,650.1621,453.9439,687.9585,614.2293999999999,802.0702000000001,604.0124000000001,561.8754,437.2614,583.4265,616.0264000000001,536.8822,630.0801,635.3192000000001,671.7558,615.4132,779.226,774.9947000000001,590.6386,425.8606
12,652.3677,768.2009999999999,606.9802999999999,546.0984,409.7374,481.7791,611.8120000000001,553.7710999999999,536.0347,594.0259,584.7103999999999,639.0654000000001,389.0606,672.346,617.8915999999999,718.3298,577.1371,555.9136,452.6841,582.4685,578.3326000000001,521.6363,625.7134000000001,593.8768,596.3672,614.6033,712.6505000000001,707.1202999999999,545.1514,415.2179
13,567.5255000000001,611.0359,520.576,457.2047,337.6906,402.8865,481.8372,473.416,457.696,471.4508,511.5932,555.7355,277.6877,582.5437,549.0686000000001,565.4900000000001,484.7147,483.3814,406.6763,512.295,476.36340000000007,443.5901,549.2791,487.4516,460.0818,542.1209000000001,575.2449,568.999,438.888,349.2701
14,441.0267,423.7113000000001,394.55180000000007,331.50930000000005,230.2486,287.40610000000004,321.59440000000006,354.1046,340.6222,317.653,396.7808,430.9149,140.2955,451.4239,436.3718,383.4068,355.10350000000005,370.1014,317.97270000000003,399.866,339.24940000000004,327.2825,430.3441,346.276,295.4858,426.6881,405.4313,398.8328,299.65840000000003,246.3881
15,16.8561,16.6066,17.1539,17.556,18.3066,17.8963,17.4148,17.4503,17.5491,17.4779,17.206,16.9302,18.7006,16.7628,16.9672,16.893400000000003,17.3831,17.3844,17.8605,17.200499999999998,17.4394,17.6383,16.968600000000002,17.3708,17.5548,17.0125,16.8261,16.865900000000003,17.678200000000004,18.2311
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
