Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
182,w592487869,592487869,way,341.26,35.960272499999995,0.3,0.46,0.24
116,w506294760,506294760,way,310.34,32.702077499999994,0.42,0.54,0.04
97,w482824940,482824940,way,254.41,26.80845375,0.57,0.43,0.0
24,w469681591,469681591,way,846.75,89.22628125,0.49,0.45,0.06
9,w246792829,246792829,way,1277.89,134.65765875,0.36,0.48,0.16
141,w534573301,534573301,way,129.3,13.6249875,0.38,0.33,0.29
261,w1083279101,1083279101,way,86.57,9.122313749999998,0.35,0.5,0.15
45,w471892367,471892367,way,897.22,94.5445575,0.03,0.03,0.94
188,w592781545,592781545,way,395.97,41.72533875,0.04,0.57,0.39
127,w533818162,533818162,way,689.6,72.6666,0.78,0.0,0.22
