w246792829,w469681591,w482824940,w506294760,w592487869
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
131.3304,156.2946,171.8088,135.5748,123.144
288.07280000000003,336.74490000000003,367.0859,291.8678,274.16540000000003
389.5916,447.9376,484.298,394.6724,372.6764
519.1932,582.0592,621.0319999999999,534.4788,496.4708
588.8416000000001,650.1621,687.9585,614.2293999999999,561.8754
584.7103999999999,639.0654000000001,672.346,617.8915999999999,555.9136
511.5932,555.7355,582.5437,549.0686000000001,483.3814
396.7808,430.9149,451.4239,436.3718,370.1014
17.206,16.9302,16.7628,16.9672,17.3844
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
108.1524,126.9882,138.6932,111.3864,101.9612
271.0472,314.15989999999994,341.0323,274.553,258.6622
357.0744,406.1465,436.7299,361.2342,342.8998
266.1796,276.8295,283.44809999999995,267.98380000000003,262.6902
143.312,142.20600000000002,141.536,142.29200000000003,144.056
34.044,33.7341,33.5459,33.7806,34.2422
469.1296,507.3101,530.4985,501.5014,444.7474
61.4676,60.9074,60.5672,60.9912,61.826
4.5288,4.456,4.4118,4.4664,4.5756
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
16.688399999999998,16.5543,16.4741,16.515,16.8014
205.094,228.2312,242.6548,206.8772,198.4924
272.5192,296.4717,311.4105,274.0318,265.8378
342.7636,366.2141,380.7635,347.9074,334.5434
247.7748,252.4923,255.4145,249.0342,246.0182
452.9864,485.8042,505.9012,472.8644000000001,435.6712
278.9528,291.2293,298.6855,289.3502,271.1182
103.7096,104.6409,105.1957,105.0182,102.877
19.0204,18.7153,18.5301,18.757,19.2174
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
