,w298890331,w472420804,w473457215,w475959205,w475960231,w476748191,w477684043,w478158110,w482663211,w482663212,w516261689,w526337678,w533804140,w535766602,w538114085,w539127966,w541436889,w541438316,w541772549,w541914139,w541965084,w543185521,w574606561,w574610371,w576480195,w579398457,w584478907,w587036156,w592870302,w592874720,w625668205,w633631672,w633647614,w633657246,w633668901,w633668944,w633706198,w633724575,w633724599,w639970921,w800747472,w839482158,w881941844,w884214063,w891199681,w896947029,w898628582,w900520092,w901800611,w1208680335,w246792829,w469681591,w482824940,w506294760,w592487869,w538115135,w539744154
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,160.76850000000002,54.3642,92.7987,161.3733,267.3726,74.63040000000001,151.06470000000002,111.29370000000002,140.75610000000003,125.06640000000002,157.5096,137.6484,84.18299999999999,129.61319999999998,149.4987,74.4792,156.5727,110.2839,76.9281,197.8368,165.9498,119.3289,130.7499,106.0395,72.2301,190.2066,123.7002,211.1019,123.97830000000002,169.08180000000002,252.1365,141.8685,153.16260000000003,214.8927,190.6359,185.98650000000004,135.0969,185.4303,146.5422,117.18240000000002,157.9146,136.941,141.2097,154.8555,113.5185,158.09010000000004,106.7469,168.24750000000003,158.3196,178.38060000000002,131.3304,156.2946,171.8088,135.5748,123.144,159.78300000000002,119.8851
8,358.8615,123.733,222.3289,346.22670000000005,574.4053,178.0862,330.4218,252.0412,314.61690000000004,295.64759999999995,357.59460000000007,310.1913,209.6846,293.1251999999999,332.3155,181.2449,338.6405,257.72610000000003,168.612,439.7664,381.6106,269.1073,292.4946,253.9311,174.29309999999998,429.6502,277.95660000000004,463.1556,279.85220000000004,377.8232,545.9599000000001,322.1993,340.5323,476.4267,428.3871,417.64220000000006,309.5569,413.851,324.7312,275.4228,364.5445,309.5588,305.1408,343.69290000000007,267.206,353.17280000000005,254.5636,372.1364,371.4944,399.313,288.07280000000003,336.74490000000003,367.0859,291.8678,274.16540000000003,356.33340000000004,272.8985
9,472.861,194.2824,309.6678,459.3538,730.332,257.678,439.8982,346.03860000000003,420.4426,396.3244,470.7388,414.9436,294.0176,394.6515999999999,441.5814,261.0548,450.0494,351.9454,247.9762,568.822,498.6312,366.3306,394.2334,346.8646,253.0258,556.1304,376.9,597.1534,379.0118,495.2648,696.0834,428.8898,451.304,612.3645999999999,554.8654,542.1842,413.6682,537.9606,432.70560000000006,372.6556,478.3392,414.0968,410.3122,455.1094,362.933,466.097,347.7114,488.9294,485.9396,520.6272,389.5916,447.9376,484.298,394.6724,372.6764,469.9024,370.5542
