Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
2295,w541438316,541438316,way,275.61,26.649792784427422,0.16,0.35,0.49
2707,w574606561,574606561,way,925.13,89.45438408859381,0.31,0.4,0.29
1632,w533804140,533804140,way,76.77,7.423187083416759,0.0,0.34,0.66
2427,w541914139,541914139,way,134.24,12.980182806797783,0.52,0.08,0.4
5921,w633724575,633724575,way,157.3,15.209943053555508,0.47,0.12,0.41
419,w475960231,475960231,way,197.41,19.088333491432884,0.89,0.01,0.0999999999999999
499,w477684043,477684043,way,259.2,25.063046659132787,0.43,0.4,0.17
403,w475959205,475959205,way,199.35,19.275919565964973,0.52,0.45,0.03
3263,w592870302,592870302,way,166.6,16.109195885075316,0.27,0.4,0.33
1517,w526337678,526337678,way,61.23,5.920564610103011,0.31,0.33,0.36
7210,w901800611,901800611,way,102.61,9.92175624110191,0.24,0.0,0.76
2008,w538114085,538114085,way,91.39,8.836851212107042,0.38,0.33,0.29
7175,w900520092,900520092,way,255.89,24.742990006194013,0.45,0.26,0.29
2920,w584478907,584478907,way,179.44,17.350744955689766,0.28,0.42,0.3
464,w476748191,476748191,way,549.35,53.11876806402237,0.06,0.54,0.4
5871,w633706198,633706198,way,137.41,13.286702320337332,0.26,0.27,0.47
2515,w541965084,541965084,way,240.4,23.24520222552285,0.32,0.06,0.62
1381,w516261689,516261689,way,294.35,28.46183558686627,0.34,0.18,0.48
7143,w898628582,898628582,way,322.19,31.153792450254603,0.11,0.3,0.59
5252,w633668901,633668901,way,172.18,16.648747583987205,0.46,0.05,0.49
3103,w587036156,587036156,way,179.7,17.37588535743118,0.61,0.1,0.29
579,w478158110,478158110,way,483.6,46.76114723903016,0.23,0.46,0.31
6547,w881941844,881941844,way,259.6,25.101724200273427,0.43,0.5,0.07
2286,w541436889,541436889,way,355.48,34.37273081168412,0.48,0.43,0.09
5295,w633668944,633668944,way,133.43,12.901860785987994,0.45,0.08,0.47
7687,w1208680335,1208680335,way,155.13,15.000117392867551,0.44,0.1399999999999999,0.42
627,w482663212,482663212,way,182.06,17.60408285016094,0.16,0.2,0.64
6967,w891199681,891199681,way,426.96,41.28440741351595,0.15,0.3,0.55
6377,w839482158,839482158,way,43.61,4.216818922857951,0.3,0.32,0.38
2863,w579398457,579398457,way,288.01,27.848796559787168,0.44,0.02,0.54
2725,w574610371,574610371,way,57.56,5.565698170137667,0.1,0.29,0.61
22,w298890331,298890331,way,236.05,22.82458396561842,0.4,0.25,0.35
2575,w543185521,543185521,way,458.5,44.33413153245518,0.26,0.43,0.31
5945,w633724599,633724599,way,113.89,11.012462901267876,0.38,0.36,0.26
7033,w896947029,896947029,way,167.26,16.17301382795737,0.39,0.26,0.35
626,w482663211,482663211,way,153.61,14.853142736533131,0.34,0.35,0.31
2770,w576480195,576480195,way,239.73,23.18041734411228,0.04,0.53,0.43
2352,w541772549,541772549,way,293.47,28.376744996356862,0.19,0.74,0.07
4718,w633631672,633631672,way,173.64,16.789920609150528,0.3,0.27,0.43
3580,w625668205,625668205,way,178.78,17.286927012807716,0.8,0.01,0.19
276,w472420804,472420804,way,261.83,25.31735149213248,0.08,0.78,0.14
3294,w592874720,592874720,way,232.94,22.523866083249967,0.42,0.2,0.38
2142,w539127966,539127966,way,43.85,4.240025447542333,0.03,0.49,0.48
6696,w884214063,884214063,way,124.69,12.056756512065077,0.4,0.31,0.29
6312,w800747472,800747472,way,61.86,5.981481737399514,0.29,0.09,0.62
1889,w535766602,535766602,way,159.43,15.4159009601294,0.2799999999999999,0.36,0.36
6144,w639970921,639970921,way,154.09,14.899555785901896,0.16,0.2799999999999999,0.56
5004,w633647614,633647614,way,83.49,8.07296977457946,0.39,0.31,0.3
5072,w633657246,633657246,way,227.14,21.96304173671073,0.58,0.01,0.41
344,w473457215,473457215,way,269.77,26.08510068377412,0.08,0.39,0.53
