,full_id,osm_id,osm_type,Area,Chosen
0,r6994474,6994474,relation,224.03462625,1.0
28,w470857149,470857149,way,337.29799875,1.0
85,w477681559,477681559,way,32.518725,1.0
117,w506297776,506297776,way,9.673425,1.0
123,w533817233,533817233,way,79.51492125,1.0
156,w574606573,574606573,way,38.8011825,1.0
158,w574617561,574617561,way,39.34386375,1.0
176,w588238459,588238459,way,73.058595,1.0
178,w592485510,592485510,way,77.97749999999999,1.0
195,w620980889,620980889,way,44.303864999999995,1.0
247,w1083279088,1083279088,way,12.6302475,1.0
250,w1083279096,1083279096,way,99.09570375,1.0
