,full_id,osm_id,osm_type,Area,Chosen
12,w298890321,298890321,way,213.7833400851715,1.0
16,w298890325,298890325,way,55.27214016702733,1.0
17,w298890326,298890326,way,52.539571885441326,1.0
71,w470871809,470871809,way,13.520701444238187,1.0
72,w470871810,470871810,way,20.41787396814228,1.0
74,w470871812,470871812,way,30.204258815251965,1.0
83,w470873229,470873229,way,20.834624473932646,1.0
115,w471826095,471826095,way,34.62703564468381,1.0
121,w471834445,471834445,way,23.895951855214065,1.0
125,w471836858,471836858,way,54.330342040252816,1.0
143,w471847569,471847569,way,23.24520222552285,1.0
164,w471864953,471864953,way,22.398164074542894,1.0
169,w471864958,471864958,way,21.26491211912223,1.0
176,w471864965,471864965,way,11.0869171679636,1.0
180,w471864969,471864969,way,26.17019127428352,1.0
184,w471878469,471878469,way,48.59349575056783,1.0
186,w471892177,471892177,way,34.306978991745034,1.0
213,w471974879,471974879,way,9.55431960026586,1.0
224,w471978558,471978558,way,46.95550188326185,1.0
233,w472276948,472276948,way,39.770181677860016,1.0
248,w472398043,472398043,way,35.23330610206329,1.0
249,w472398044,472398044,way,20.792079178677945,1.0
269,w472420796,472420796,way,13.85429523657618,1.0
281,w472425844,472425844,way,17.078068290648275,1.0
285,w472599969,472599969,way,27.790780248076214,1.0
299,w473446969,473446969,way,18.42017896822838,1.0
304,w473446974,473446974,way,27.244459979464715,1.0
305,w473446975,473446975,way,31.476749918778918,1.0
311,w473446981,473446981,way,25.06014584354724,1.0
317,w473450647,473450647,way,22.3072718528624,1.0
328,w473452476,473452476,way,33.89893093271131,1.0
368,w475955277,475955277,way,76.97507543956728,1.0
384,w475957245,475957245,way,70.461777511484,1.0
411,w475960226,475960226,way,17.33334006217648,1.0
431,w476740816,476740816,way,22.784939485949266,1.0
453,w476746956,476746956,way,29.51483164442011,1.0
455,w476746958,476746958,way,21.765786276893483,1.0
467,w476748198,476748198,way,38.621458705983095,1.0
473,w476753359,476753359,way,51.02341227272835,1.0
480,w477681559,477681559,way,29.839722990001462,1.0
487,w477683539,477683539,way,9.9149876714023,1.0
505,w477684579,477684579,way,21.383845558129693,1.0
509,w477684583,477684583,way,29.35335291015795,1.0
510,w477684584,477684584,way,21.448630439540256,1.0
519,w478152801,478152801,way,37.24550517990493,1.0
541,w478155447,478155447,way,39.33699321708488,1.0
567,w478157353,478157353,way,13.174537451029485,1.0
577,w478158894,478158894,way,35.53692480001729,1.0
583,w478158901,478158901,way,11.215519992256219,1.0
586,w478160679,478160679,way,12.760687760824668,1.0
611,w478162375,478162375,way,23.026674118078247,1.0
619,w482663203,482663203,way,21.701001395482916,1.0
630,w482663231,482663231,way,37.90592419488131,1.0
674,w484128208,484128208,way,26.818040088389193,1.0
681,w484130356,484130356,way,11.162338373187843,1.0
684,w484132541,484132541,way,24.60181698103069,1.0
692,w484132919,484132919,way,39.922957965365526,1.0
